---
---
2.932967e-01	1
2.929924e-01	2
2.927078e-01	3
2.921703e-01	4
2.933221e-01	5
2.932520e-01	6
2.929291e-01	7
2.922671e-01	8
2.927801e-01	9
2.910832e-01	10
2.935481e-01	20
2.930133e-01	30
2.968215e-01	40
2.957764e-01	50
2.924327e-01	60
2.927787e-01	70
2.931276e-01	80
2.805127e-01	90
2.892185e-01	100
---
2.927520e-01	1
2.930128e-01	2
2.929977e-01	3
2.930534e-01	4
2.929660e-01	5
2.925760e-01	6
2.946366e-01	7
2.932248e-01	8
2.925176e-01	9
2.924854e-01	10
2.921096e-01	20
2.981593e-01	30
2.941874e-01	40
2.899820e-01	50
2.881813e-01	60
3.068129e-01	70
2.961890e-01	80
2.874360e-01	90
2.933989e-01	100
