length,delta,J,lambda,time_interval,evol_num,sample_num,train_set_type,entangle_dim,loss,gate_fidelity,spectrum_diff,H_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,0.1,1.0,1.0,0.02,1.0,1.0,non_product,1.0,multi_mags,0.5751691481353114,995.68007465691,0.1311649202474397,0.0010143275601871,0.3670094678603603,0.7591618413523795,0.7778160186950985
10,0.1,1.0,1.0,0.02,1.0,1.0,non_product,1.0,multi_mags,0.5487966711280359,1087.0524873068591,0.1452335246431508,0.000627129197607,0.3294404520833395,0.7289840984615445,0.822084714822519
10,0.1,1.0,1.0,0.02,1.0,2.0,non_product,1.0,multi_mags,0.7367514427913533,543.7275202268337,0.1042142737257994,0.0006959384743168,0.2791639149221545,0.8665755734529685,0.8832466412648438
10,0.1,1.0,1.0,0.02,1.0,2.0,non_product,1.0,multi_mags,0.7852168290589406,401.35331393015787,0.0938376715838767,0.0010233313877077,0.2512367603250187,0.8864775068089719,0.903152465918008
10,0.1,1.0,1.0,0.02,1.0,3.0,non_product,1.0,multi_mags,0.8361702265200875,260.3774273757805,0.0785074282515467,0.0007734609809372,0.2188474457360211,0.9125960060078342,0.927857870609675
10,0.1,1.0,1.0,0.02,1.0,3.0,non_product,1.0,multi_mags,0.8296047909259717,267.2566193028037,0.0742391047265854,0.0010470559138199,0.2142497563981698,0.9124188646471952,0.9228418401299175
10,0.1,1.0,1.0,0.02,1.0,4.0,non_product,1.0,multi_mags,0.9464461090684874,56.334011333650814,0.0448767046619484,0.0013538168486965,0.1088616831098742,0.9721271339500532,0.9784043020479763
10,0.1,1.0,1.0,0.02,1.0,4.0,non_product,1.0,multi_mags,0.962023208583444,28.38216445642301,0.0406691854490066,0.0009629928195682,0.1136416006219637,0.980790097398042,0.9812154289795824
10,0.1,1.0,1.0,0.02,1.0,5.0,non_product,1.0,multi_mags,0.9737353665485792,10.221703612095263,0.0316901649914497,0.0007994011155368,0.078565319677904,0.9868584711952162,0.9880318704213786
10,0.1,1.0,1.0,0.02,1.0,6.0,non_product,1.0,multi_mags,0.991413842244774,0.7498629911567276,0.0200413866091877,0.0010969068209316,0.0485005403578727,0.9958244338356536,0.9959011530141184
10,0.1,1.0,1.0,0.02,1.0,7.0,non_product,1.0,multi_mags,0.996558336886651,0.0097797760123237,0.0129768644527415,0.0007933458020969,0.0250252090672349,0.9982514468517476,0.9985132818814876
10,0.1,1.0,1.0,0.02,1.0,8.0,non_product,1.0,multi_mags,0.999176698529846,0.0072210945813576,0.0062321818521112,0.0005997601393017,0.012991484005726,0.9995693037388876,0.9996682371560708
10,0.1,1.0,1.0,0.02,1.0,9.0,non_product,1.0,multi_mags,0.9996936167339002,0.0035949308773842,0.0039821971314004,0.000422698865365,0.0083554090631781,0.9998457109128736,0.9998595800216892
10,0.1,1.0,1.0,0.02,1.0,10.0,non_product,1.0,multi_mags,0.999773476522646,0.0013760509967632,0.0033980813587475,0.0003831252815957,0.00787106590206,0.9999112366555551,0.9998994766992968
10,0.1,1.0,1.0,0.02,2.0,1.0,non_product,1.0,multi_mags,0.6176871898334028,906.1395430013096,0.1194836557432516,0.000898425226548,0.3124082789592782,0.7931362920350535,0.8534025001168337
10,0.1,1.0,1.0,0.02,2.0,2.0,non_product,1.0,multi_mags,0.917218230994018,94.54882452004682,0.0570746718164438,0.0008153546114661,0.1716389323273421,0.9582863400291086,0.9568718202514044
10,0.1,1.0,1.0,0.02,2.0,3.0,non_product,1.0,multi_mags,0.9785897099433212,14.888070668530938,0.0309014943930646,0.0005443239815056,0.0753563822857529,0.9894013260637636,0.9910612553048664
10,0.1,1.0,1.0,0.02,2.0,4.0,non_product,1.0,multi_mags,0.9883319685517094,4.52435677261659,0.0224764197241532,0.000508967605229,0.0490044107873987,0.9943971565766476,0.9950757342793892
10,0.1,1.0,1.0,0.02,3.0,1.0,non_product,1.0,multi_mags,0.6254951303627453,882.5624214283321,0.1309330523864467,0.0011132665720572,0.2991185707536131,0.7933349932382756,0.8583537435831141
10,0.1,1.0,1.0,0.02,3.0,2.0,non_product,1.0,multi_mags,0.9224958959994312,97.27810598913771,0.0568584386346288,0.0006282625598164,0.138930122352331,0.961570604091445,0.9721895332376472
10,0.1,1.0,1.0,0.02,3.0,3.0,non_product,1.0,multi_mags,0.9839461862707513,13.416505499237678,0.0238521959945629,0.0004777466688027,0.075404418717672,0.9921526060106048,0.9923755589522416
10,0.1,1.0,1.0,0.02,3.0,4.0,non_product,1.0,multi_mags,0.9934093480914644,0.9074379099897868,0.0188371680418915,0.0004526542936084,0.0431706546294805,0.9967382676510008,0.9968525161796084
10,0.1,1.0,1.0,0.02,4.0,1.0,non_product,1.0,multi_mags,0.7275321396244427,550.5779728099664,0.110547666430806,0.0008761324273557,0.257135298122516,0.8449249324615034,0.8856526174500253
10,0.1,1.0,1.0,0.02,4.0,2.0,non_product,1.0,multi_mags,0.9303384729218636,93.29644935602887,0.0524745540241387,0.0006673053579874,0.1523656393538967,0.9637459442751916,0.9699995279564596
10,0.1,1.0,1.0,0.02,4.0,3.0,non_product,1.0,multi_mags,0.990507915562262,3.488315763153377,0.0228708097516121,0.0004870846093115,0.0435266819149812,0.9952067434021296,0.9962128295020282
10,0.1,1.0,1.0,0.02,4.0,4.0,non_product,1.0,multi_mags,0.9978028543630096,0.5826603456462831,0.0100706881195788,0.0004644512309044,0.0172333880121383,0.9989347398326104,0.9993389389820068
10,0.1,1.0,1.0,0.02,5.0,1.0,non_product,1.0,multi_mags,0.6927315326965063,675.7521892885279,0.118038022996762,0.0006073965596312,0.2934620922134843,0.8427820464269064,0.8791660820026457
10,0.1,1.0,1.0,0.02,5.0,2.0,non_product,1.0,multi_mags,0.9648335534823498,30.42962729338196,0.0365815238746993,0.0007973787812172,0.0899377171854124,0.982025872022624,0.9875424490287112
10,0.1,1.0,1.0,0.02,5.0,3.0,non_product,1.0,multi_mags,0.9939920785291946,1.7449771854532532,0.0215659267328428,0.000438249175907,0.0324951867067184,0.9971003778289346,0.9977826920806788
10,0.1,1.0,1.0,0.02,5.0,4.0,non_product,1.0,multi_mags,0.9981829990130346,0.3416144761438492,0.0116189095122848,0.0004171828282757,0.0182038692636208,0.9991040436968504,0.9993935948352732
10,0.1,1.0,1.0,0.02,6.0,1.0,non_product,1.0,multi_mags,0.7864727279065622,415.8226678697057,0.0883394307783468,0.0009487330837482,0.2418100537773599,0.8841467614244906,0.9155016780589098
10,0.1,1.0,1.0,0.02,6.0,2.0,non_product,1.0,multi_mags,0.9534885054812088,43.80146335262366,0.0435812993296927,0.0012651832328922,0.1008057818834246,0.9782787875678212,0.9834581242197484
10,0.1,1.0,1.0,0.02,6.0,3.0,non_product,1.0,multi_mags,0.9961475186666844,0.5917400624034137,0.0178847069317715,0.0005315043011825,0.027971617614803,0.9980153087611168,0.998733622984504
10,0.1,1.0,1.0,0.02,6.0,4.0,non_product,1.0,multi_mags,0.997522301080874,0.0128909588496268,0.0115391729107365,0.0004024004856773,0.0242039162093963,0.9988518845415012,0.998881170938374
10,0.1,1.0,1.0,0.02,7.0,1.0,non_product,1.0,multi_mags,0.7414267364852403,525.1937049655638,0.1019795503301328,0.000493161506476,0.2639096229243834,0.8597457116318192,0.8931043699008189
10,0.1,1.0,1.0,0.02,7.0,2.0,non_product,1.0,multi_mags,0.9704055759904942,18.13243406085536,0.0345735921286919,0.0015216699938762,0.0909180881455642,0.9853461063574638,0.9883510805555082
10,0.1,1.0,1.0,0.02,7.0,3.0,non_product,1.0,multi_mags,0.9970806393926632,0.4002325664625344,0.0115410313807722,0.0007675198421944,0.0246068247158822,0.9985745728373914,0.9988162201711014
10,0.1,1.0,1.0,0.02,7.0,4.0,non_product,1.0,multi_mags,0.9989534861556936,0.1587006986632074,0.0127558465563486,0.0013139165479037,0.0160583545334579,0.9994659949695256,0.99953437181677
10,0.1,1.0,1.0,0.02,8.0,1.0,non_product,1.0,multi_mags,0.8980990924498191,163.34674841442472,0.0658114228330652,0.0009005555983754,0.1632180838982876,0.944869142940817,0.9608582176513508
10,0.1,1.0,1.0,0.02,8.0,2.0,non_product,1.0,multi_mags,0.9506388112490464,44.783501720451255,0.0442470772279327,0.0007441340315403,0.0833019064805731,0.975692220767012,0.9856822142515946
10,0.1,1.0,1.0,0.02,8.0,3.0,non_product,1.0,multi_mags,0.9947511991133736,0.088070794200173,0.0204072607712097,0.0004289561306473,0.0378017484057412,0.9974930124503776,0.997963101695144
10,0.1,1.0,1.0,0.02,8.0,4.0,non_product,1.0,multi_mags,0.998570980103664,0.0813872496802325,0.0084813969781298,0.0012853384538784,0.016754170029439,0.9992603498461888,0.9994560491958616
10,0.1,1.0,1.0,0.02,9.0,1.0,non_product,1.0,multi_mags,0.8547441728104964,221.3581547529818,0.0758100106872567,0.0006173534113289,0.1722463446377431,0.923803005803698,0.951245551505576
10,0.1,1.0,1.0,0.02,9.0,2.0,non_product,1.0,multi_mags,0.9824310188811356,8.404745264603422,0.0289002712803109,0.0008977633818926,0.0758328817660722,0.9910460156752366,0.9923117022599176
10,0.1,1.0,1.0,0.02,9.0,3.0,non_product,1.0,multi_mags,0.997069817145942,0.5547783153989247,0.0143685899090711,0.0004386000758857,0.0285840120642693,0.998617047565352,0.9986969814299512
10,0.1,1.0,1.0,0.02,9.0,4.0,non_product,1.0,multi_mags,0.9989763840362798,0.1670611688798797,0.0143989513481403,0.0004179902019764,0.0163296904022255,0.9995159870925648,0.9995264996413766
10,0.1,1.0,1.0,0.02,10.0,1.0,non_product,1.0,multi_mags,0.8225046862662686,287.211343337787,0.0824582252130251,0.0010750490949104,0.2335881452883738,0.9006030977569903,0.9250263166520172
10,0.1,1.0,1.0,0.02,10.0,2.0,non_product,1.0,multi_mags,0.9839838677923336,9.556745688257909,0.0252553699745085,0.0008191966053967,0.0663440744213818,0.9919177844100752,0.9931295260339746
10,0.1,1.0,1.0,0.02,10.0,3.0,non_product,1.0,multi_mags,0.99884531050301,0.0250453799858099,0.0149325638918216,0.0006991536225508,0.0178250341711864,0.9994304839989236,0.999493734478261
10,0.1,1.0,1.0,0.02,10.0,4.0,non_product,1.0,multi_mags,0.9994968796146904,0.0221734608315674,0.0125248924680193,0.0003667872612473,0.0098981163825626,0.9997693858996478,0.9997792420689108
10,0.1,1.0,1.0,0.04,1.0,1.0,non_product,1.0,multi_mags,0.4063220504970824,337.8072349035449,0.08787677615607,0.0018708292061135,0.461882388518887,0.6251085202175403,0.6848705260680366
10,0.1,1.0,1.0,0.04,1.0,1.0,non_product,1.0,multi_mags,0.5377153579621002,194.08668450252807,0.0739813286270188,0.000905415711912,0.3682683617060404,0.7392137653893667,0.7799306796019676
10,0.1,1.0,1.0,0.04,1.0,2.0,non_product,1.0,multi_mags,0.7240840164045365,96.20908697573304,0.0542011788053266,0.0008985991146339,0.2681837657194594,0.8505213206853115,0.8790723139616082
10,0.1,1.0,1.0,0.04,1.0,2.0,non_product,1.0,multi_mags,0.6327160795002833,143.8142046434457,0.0633920615945034,0.0006933670544285,0.2843205339359108,0.8010163392546317,0.860175581681583
