length,delta,J,lambda,time_interval,evol_num,sample_num,train_set_type,entangle_dim,loss,gate_fidelity,spectrum_diff,H_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,0.1,1.0,1.0,0.02,1,1,non_product,1,multi_mags,0.5487966711280359,1087.0524873068591,0.1452335246431508,0.000627129197607,0.3294404520833395,0.7289840984615445,0.822084714822519
10,0.1,1.0,1.0,0.02,1,2,non_product,1,multi_mags,0.7852168290589406,401.35331393015787,0.0938376715838767,0.0010233313877077,0.2512367603250187,0.8864775068089719,0.903152465918008
10,0.1,1.0,1.0,0.02,1,3,non_product,1,multi_mags,0.8296047909259717,267.2566193028037,0.0742391047265854,0.0010470559138199,0.2142497563981698,0.9124188646471952,0.9228418401299175
10,0.1,1.0,1.0,0.02,1,4,non_product,1,multi_mags,0.962023208583444,28.38216445642301,0.0406691854490066,0.0009629928195682,0.1136416006219637,0.980790097398042,0.9812154289795824
10,0.1,1.0,1.0,0.02,1,5,non_product,1,multi_mags,0.9737353665485792,10.221703612095263,0.0316901649914497,0.0007994011155368,0.078565319677904,0.9868584711952162,0.9880318704213786
10,0.1,1.0,1.0,0.02,1,6,non_product,1,multi_mags,0.991413842244774,0.7498629911567276,0.0200413866091877,0.0010969068209316,0.0485005403578727,0.9958244338356536,0.9959011530141184
10,0.1,1.0,1.0,0.02,1,7,non_product,1,multi_mags,0.996558336886651,0.0097797760123237,0.0129768644527415,0.0007933458020969,0.0250252090672349,0.9982514468517476,0.9985132818814876
10,0.1,1.0,1.0,0.02,1,8,non_product,1,multi_mags,0.999176698529846,0.0072210945813576,0.0062321818521112,0.0005997601393017,0.012991484005726,0.9995693037388876,0.9996682371560708
10,0.1,1.0,1.0,0.02,1,9,non_product,1,multi_mags,0.9996936167339002,0.0035949308773842,0.0039821971314004,0.000422698865365,0.0083554090631781,0.9998457109128736,0.9998595800216892
10,0.1,1.0,1.0,0.02,1,10,non_product,1,multi_mags,0.999773476522646,0.0013760509967632,0.0033980813587475,0.0003831252815957,0.00787106590206,0.9999112366555551,0.9998994766992968
