Jx,Jy,Jz,hx,hl,time_interval,sample_num,evol_num,train_set_type,loss,gate_fidelity,length
1.0,1.0,1.0,0.5,2.0,0.08,1,60,product,multi_mags,0.9907925,10
1.0,1.0,1.0,0.5,2.0,0.08,1,70,product,multi_mags,0.9917003,10
1.0,1.0,1.0,0.5,2.0,0.08,1,80,product,multi_mags,0.9927141,10
1.0,1.0,1.0,0.5,2.0,0.08,1,90,product,multi_mags,0.9934113,10
1.0,1.0,1.0,0.5,2.0,0.08,1,100,product,multi_mags,0.9891574,10
1.0,1.0,1.0,0.5,2.0,0.1,1,1,product,multi_mags,0.77999,10
1.0,1.0,1.0,0.5,2.0,0.1,1,2,product,multi_mags,0.9396726,10
1.0,1.0,1.0,0.5,2.0,0.1,1,3,product,multi_mags,0.9490784,10
1.0,1.0,1.0,0.5,2.0,0.1,1,4,product,multi_mags,0.9543354,10
1.0,1.0,1.0,0.5,2.0,0.1,1,5,product,multi_mags,0.9453043,10
1.0,1.0,1.0,0.5,2.0,0.1,1,6,product,multi_mags,0.9621197,10
1.0,1.0,1.0,0.5,2.0,0.1,1,7,product,multi_mags,0.9509265,10
1.0,1.0,1.0,0.5,2.0,0.1,1,8,product,multi_mags,0.9601094,10
1.0,1.0,1.0,0.5,2.0,0.1,1,9,product,multi_mags,0.9532051,10
1.0,1.0,1.0,0.5,2.0,0.1,1,10,product,multi_mags,0.9623792,10
1.0,1.0,1.0,0.5,2.0,0.1,1,20,product,multi_mags,0.9818814,10
1.0,1.0,1.0,0.5,2.0,0.1,1,30,product,multi_mags,0.9867269,10
1.0,1.0,1.0,0.5,2.0,0.1,1,40,product,multi_mags,0.9906198,10
1.0,1.0,1.0,0.5,2.0,0.1,1,50,product,multi_mags,0.9986311,10
1.0,1.0,1.0,0.5,2.0,0.1,1,60,product,multi_mags,0.9863268,10
1.0,1.0,1.0,0.5,2.0,0.1,1,70,product,multi_mags,0.9993371,10
1.0,1.0,1.0,0.5,2.0,0.1,1,80,product,multi_mags,0.9995323,10
1.0,1.0,1.0,0.5,2.0,0.1,1,90,product,multi_mags,0.9997324,10
1.0,1.0,1.0,0.5,2.0,0.1,1,100,product,multi_mags,0.9996008,10
1.0,1.0,1.0,0.5,2.0,0.2,1,1,product,multi_mags,0.8769403,10
1.0,1.0,1.0,0.5,2.0,0.2,1,2,product,multi_mags,0.8897139,10
1.0,1.0,1.0,0.5,2.0,0.2,1,3,product,multi_mags,0.9053541,10
1.0,1.0,1.0,0.5,2.0,0.2,1,4,product,multi_mags,0.9052719,10
1.0,1.0,1.0,0.5,2.0,0.2,1,5,product,multi_mags,0.9038588,10
1.0,1.0,1.0,0.5,2.0,0.2,1,6,product,multi_mags,0.9044095,10
1.0,1.0,1.0,0.5,2.0,0.2,1,7,product,multi_mags,0.9123487,10
1.0,1.0,1.0,0.5,2.0,0.2,1,8,product,multi_mags,0.9175656,10
1.0,1.0,1.0,0.5,2.0,0.2,1,9,product,multi_mags,0.9246715,10
1.0,1.0,1.0,0.5,2.0,0.2,1,10,product,multi_mags,0.9232501,10
1.0,1.0,1.0,0.5,2.0,0.2,1,20,product,multi_mags,0.9403158,10
1.0,1.0,1.0,0.5,2.0,0.2,1,30,product,multi_mags,0.9621067,10
1.0,1.0,1.0,0.5,2.0,0.2,1,40,product,multi_mags,0.9607567,10
1.0,1.0,1.0,0.5,2.0,0.2,1,50,product,multi_mags,0.9604492,10
1.0,1.0,1.0,0.5,2.0,0.2,1,60,product,multi_mags,0.9605338,10
1.0,1.0,1.0,0.5,2.0,0.2,1,70,product,multi_mags,0.9602908,10
1.0,1.0,1.0,0.5,2.0,0.2,1,80,product,multi_mags,0.9610671,10
1.0,1.0,1.0,0.5,2.0,0.2,1,90,product,multi_mags,0.9604833,10
1.0,1.0,1.0,0.5,2.0,0.2,1,100,product,multi_mags,0.9633467,10
1.0,1.0,1.0,0.5,2.0,0.4,1,1,product,multi_mags,0.5944509,10
1.0,1.0,1.0,0.5,2.0,0.4,1,2,product,multi_mags,0.6290822,10
1.0,1.0,1.0,0.5,2.0,0.4,1,3,product,multi_mags,0.7591159,10
1.0,1.0,1.0,0.5,2.0,0.4,1,4,product,multi_mags,0.7842062,10
1.0,1.0,1.0,0.5,2.0,0.4,1,5,product,multi_mags,0.7348356,10
1.0,1.0,1.0,0.5,2.0,0.4,1,6,product,multi_mags,0.7577968,10
1.0,1.0,1.0,0.5,2.0,0.4,1,7,product,multi_mags,0.7940169,10
1.0,1.0,1.0,0.5,2.0,0.4,1,8,product,multi_mags,0.7532725,10
1.0,1.0,1.0,0.5,2.0,0.4,1,9,product,multi_mags,0.7685336,10
1.0,1.0,1.0,0.5,2.0,0.4,1,10,product,multi_mags,0.768013,10
1.0,1.0,1.0,0.5,2.0,0.4,1,20,product,multi_mags,0.8369587,10
1.0,1.0,1.0,0.5,2.0,0.4,1,30,product,multi_mags,0.8516132,10
1.0,1.0,1.0,0.5,2.0,0.4,1,40,product,multi_mags,0.8489938,10
1.0,1.0,1.0,0.5,2.0,0.4,1,50,product,multi_mags,0.8491439,10
1.0,1.0,1.0,0.5,2.0,0.4,1,60,product,multi_mags,0.8495714,10
1.0,1.0,1.0,0.5,2.0,0.4,1,70,product,multi_mags,0.8676531,10
1.0,1.0,1.0,0.5,2.0,0.4,1,80,product,multi_mags,0.849696,10
1.0,1.0,1.0,0.5,2.0,0.4,1,90,product,multi_mags,0.8491416,10
1.0,1.0,1.0,0.5,2.0,0.4,1,100,product,multi_mags,0.8496212,10
1.0,1.0,1.0,0.5,2.0,0.6,1,1,product,multi_mags,0.3644597,10
1.0,1.0,1.0,0.5,2.0,0.6,1,2,product,multi_mags,0.3237393,10
1.0,1.0,1.0,0.5,2.0,0.6,1,3,product,multi_mags,0.5639949,10
1.0,1.0,1.0,0.5,2.0,0.6,1,4,product,multi_mags,0.5243775,10
1.0,1.0,1.0,0.5,2.0,0.6,1,5,product,multi_mags,0.5235483,10
1.0,1.0,1.0,0.5,2.0,0.6,1,6,product,multi_mags,0.6270338,10
1.0,1.0,1.0,0.5,2.0,0.6,1,7,product,multi_mags,0.6920079,10
1.0,1.0,1.0,0.5,2.0,0.6,1,8,product,multi_mags,0.6753225,10
1.0,1.0,1.0,0.5,2.0,0.6,1,9,product,multi_mags,0.6355556,10
1.0,1.0,1.0,0.5,2.0,0.6,1,10,product,multi_mags,0.6789433,10
1.0,1.0,1.0,0.5,2.0,0.6,1,20,product,multi_mags,0.6870302,10
1.0,1.0,1.0,0.5,2.0,0.6,1,30,product,multi_mags,0.6848093,10
1.0,1.0,1.0,0.5,2.0,0.6,1,40,product,multi_mags,0.6855316,10
1.0,1.0,1.0,0.5,2.0,0.6,1,50,product,multi_mags,0.6850185,10
1.0,1.0,1.0,0.5,2.0,0.6,1,60,product,multi_mags,0.6853253,10
1.0,1.0,1.0,0.5,2.0,0.6,1,70,product,multi_mags,0.6854936,10
1.0,1.0,1.0,0.5,2.0,0.6,1,80,product,multi_mags,0.6852958,10
1.0,1.0,1.0,0.5,2.0,0.6,1,90,product,multi_mags,0.6854882,10
1.0,1.0,1.0,0.5,2.0,0.6,1,100,product,multi_mags,0.6853931,10
1.0,1.0,1.0,0.5,1.0,0.02,1,1,product,multi_mags,0.9561015,10
1.0,1.0,1.0,0.5,1.0,0.02,1,2,product,multi_mags,0.9784681,10
1.0,1.0,1.0,0.5,1.0,0.02,1,3,product,multi_mags,0.9768578,10
1.0,1.0,1.0,0.5,1.0,0.02,1,4,product,multi_mags,0.9519124,10
1.0,1.0,1.0,0.5,1.0,0.02,1,5,product,multi_mags,0.9735207,10
1.0,1.0,1.0,0.5,1.0,0.02,1,6,product,multi_mags,0.9034777,10
1.0,1.0,1.0,0.5,1.0,0.02,1,7,product,multi_mags,0.9808867,10
1.0,1.0,1.0,0.5,1.0,0.02,1,8,product,multi_mags,0.9310001,10
1.0,1.0,1.0,0.5,1.0,0.02,1,9,product,multi_mags,0.9744124,10
1.0,1.0,1.0,0.5,1.0,0.02,1,10,product,multi_mags,0.9387651,10
1.0,1.0,1.0,0.5,1.0,0.02,1,20,product,multi_mags,0.985514,10
1.0,1.0,1.0,0.5,1.0,0.02,1,30,product,multi_mags,0.9503939,10
1.0,1.0,1.0,0.5,1.0,0.02,1,40,product,multi_mags,0.9735553,10
1.0,1.0,1.0,0.5,1.0,0.02,1,50,product,multi_mags,0.9647405,10
1.0,1.0,1.0,0.5,1.0,0.02,1,60,product,multi_mags,0.9790251,10
1.0,1.0,1.0,0.5,1.0,0.02,1,70,product,multi_mags,0.9879797,10
1.0,1.0,1.0,0.5,1.0,0.02,1,80,product,multi_mags,0.9825264,10
1.0,1.0,1.0,0.5,1.0,0.02,1,90,product,multi_mags,0.9727302,10
1.0,1.0,1.0,0.5,1.0,0.02,1,100,product,multi_mags,0.9874444,10
1.0,1.0,1.0,0.5,1.0,0.04,1,1,product,multi_mags,0.7860462,10
1.0,1.0,1.0,0.5,1.0,0.04,1,2,product,multi_mags,0.9706138,10
1.0,1.0,1.0,0.5,1.0,0.04,1,3,product,multi_mags,0.9808608,10
1.0,1.0,1.0,0.5,1.0,0.04,1,4,product,multi_mags,0.9840574,10
1.0,1.0,1.0,0.5,1.0,0.04,1,5,product,multi_mags,0.9535825,10
1.0,1.0,1.0,0.5,1.0,0.04,1,6,product,multi_mags,0.95573,10
1.0,1.0,1.0,0.5,1.0,0.04,1,7,product,multi_mags,0.9765833,10
