model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
PXP,10,1,1,0.2,fidelity,non_product,6.371928503945412e-06,5.373635044492176e-06,0.999993628071496,0.9999946263649556,0.9999898428371732,0.9979481230646896,5.144399212824623e-05,8.379396659287234e-05
PXP,10,1,1,0.2,fidelity,non_product,0.0001137531692995,8.016598568560962e-05,0.9998862468307004,0.9999198340143144,0.9997774024626164,0.9724772176635086,0.002178896153132,0.0004925180093304
PXP,10,1,1,0.2,fidelity,non_product,2.9518430041730603e-05,1.9549651719352745e-05,0.9999704815699584,0.9999804503482806,0.9999418031220928,0.996014126646247,0.0004378143322343,0.0001677157775415
PXP,10,1,1,0.2,fidelity,non_product,1.3900790183041243e-05,1.3528630380510442e-05,0.999986099209817,0.9999864713696196,0.999965518925794,0.9944059241783622,0.0003708999631966,0.0001450555853898
PXP,10,1,1,0.2,fidelity,product,2.560263660200679e-05,0.0591318633827147,0.999974397363398,0.9408681366172852,0.82939428012744,0.787897560275655,0.8441592625731968,0.008933101958828
PXP,10,1,1,0.2,fidelity,product,3.933638236930381e-05,0.1077762197693853,0.9999606636176308,0.8922237802306147,0.7224970245727146,0.7255200683122089,2.2663729761805484,0.0104391032601588
PXP,10,1,1,0.2,fidelity,product,0.000149205075974,0.0671067864004955,0.999850794924026,0.9328932135995044,0.7932959716371459,0.7657999593261935,0.8938242935008145,0.0094333749685864
PXP,10,1,1,0.2,fidelity,product,0.0001578145968089,0.0506351997228942,0.999842185403191,0.9493648002771058,0.8308752633067621,0.7892687721443766,0.6142317089308852,0.0080662491082254
PXP,10,1,1,0.2,multi_mags,non_product,0.0008241616724034,0.6606718878987182,0.4667506801892515,0.4881461723876403,0.2094240812454997,0.4774407218444649,21.478381485194227,0.0613524484214669
PXP,10,1,1,0.2,multi_mags,non_product,0.0013825945667951,0.5498243709388497,0.4550391898802785,0.5878841521492711,0.2097214736513112,0.4789772381231928,21.840592294842526,0.0505923431805891
PXP,10,1,1,0.2,multi_mags,non_product,0.0007010966757326,0.683772683336408,0.3706226236553317,0.4109669810298204,0.1213968501485956,0.4245708618339456,28.082959079340007,0.0709944240547059
PXP,10,1,1,0.2,multi_mags,non_product,0.0009797744090606,0.5593868376965415,0.4244283121083765,0.5705889242585647,0.1905726510395796,0.4684800955355361,22.43797923286108,0.0431881992500122
PXP,10,1,1,0.2,multi_mags,product,0.0247478302374513,0.5300401793176982,0.971714352979858,0.5946842920274977,0.2059477313849018,0.4764989551527306,23.198194109463568,0.0424288158617962
PXP,10,1,1,0.2,multi_mags,product,0.0216690940322474,0.2634319057652985,0.9781177966050963,0.8714456950125508,0.589331346903663,0.6569703698285088,4.67876591734218,0.0136105805839373
PXP,10,1,1,0.2,multi_mags,product,0.0286920592309842,0.5719747189753166,0.9794964455169966,0.5598195354572633,0.1550450826491901,0.4486664736285412,28.89994063174285,0.0391761374860615
PXP,10,1,1,0.2,multi_mags,product,0.0156976382209636,0.2286231244172871,0.9794694037700622,0.8936396128383979,0.5874535584451076,0.6574757412018475,4.648359212293038,0.0130354204916367
PXP,10,1,2,0.2,fidelity,non_product,1.4293459387859642e-05,1.2198730864221297e-05,0.999985706540612,0.9999878012691358,0.9999681998931124,0.9965124804712212,0.000268819187431,0.0001238780351528
PXP,10,1,2,0.2,fidelity,non_product,3.99147107945641e-05,2.499846981751652e-05,0.9999600852892054,0.9999750015301824,0.9999359172061476,0.9856471375695878,0.000625852429781,0.0002682012239258
PXP,10,1,2,0.2,fidelity,non_product,4.425335136515329e-05,5.940980712004773e-05,0.9999557466486348,0.99994059019288,0.9998387182732028,0.9723060721386144,0.0013029323241554,0.0004780123901426
PXP,10,1,2,0.2,fidelity,non_product,1.7713660841911505e-05,1.9521829584756567e-05,0.999982286339158,0.9999804781704152,0.9999580022302686,0.9691771913814256,0.0004162012686092,0.0004126710844895
PXP,10,1,2,0.2,fidelity,product,5.411956426337738e-07,0.0013127163127671,0.9999994588043574,0.9986872836872328,0.9937536567143832,0.9539617679872506,0.027006435555804,0.0014998360301853
PXP,10,1,2,0.2,fidelity,product,0.000430941309728,0.0011714849674216,0.999569058690272,0.9988285150325784,0.9949855450082186,0.9600295768265912,0.0227629563166153,0.0013168586819442
PXP,10,1,2,0.2,fidelity,product,5.868265499087144e-07,0.0009283944547243,0.99999941317345,0.9990716055452756,0.995533041993518,0.9656669925264904,0.0212996076301907,0.0012205632035617
PXP,10,1,2,0.2,fidelity,product,4.894318061932079e-05,0.0006185436361375,0.9999510568193808,0.9993814563638624,0.9966124943918586,0.9624571935544622,0.0158417349146807,0.0012909974456902
PXP,10,1,2,0.2,multi_mags,non_product,0.0011907871714339,0.5675806513304513,0.5373302079717878,0.57113856639261,0.3044189924469148,0.5262227212604389,16.079436647418724,0.0343922714709163
PXP,10,1,2,0.2,multi_mags,non_product,0.0011202326346429,0.5033893876630886,0.5582526284283318,0.6679821230917721,0.3350035163590471,0.5407769744071821,14.163336001325762,0.0209261383787867
PXP,10,1,2,0.2,multi_mags,non_product,0.0009056721270645,0.4581695426915068,0.5890360308270282,0.7011954326256572,0.3292540596491604,0.5359782252187036,14.935365926050084,0.0277877899628992
PXP,10,1,2,0.2,multi_mags,non_product,0.0014806300029163,0.5804987706719581,0.4861321652356084,0.5868561511490321,0.2470527519792573,0.4980800085889261,19.52635806125438,0.040294242838728
