model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,lambda,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
xorX,10,1,1,0.2,fidelity,product,1.0,0.0,1.0,6.530489311940002e-05,0.3424521520966448,0.9999346951068806,0.6575478479033552,0.1819475976178615,0.4640634911798339,1.871002954976556,0.0542920927125125
xorX,10,1,1,0.2,fidelity,product,1.0,0.0,1.0,9.558736861448036e-05,0.4562925432636395,0.9999044126313856,0.5437074567363605,0.1042389914692898,0.416100592515381,3.6344118726207095,0.0712656546718416
xorX,10,1,1,0.2,fidelity,xorX,1.0,0.0,1.0,2.891053283438083e-07,0.3330644021684905,0.9999997108946715,0.6669355978315095,0.3475966253005567,0.5466578846494884,17.506715848863603,0.0111333501630441
xorX,10,1,1,0.2,fidelity,xorX,1.0,0.0,1.0,1.0578345710499093e-07,0.3226594439628339,0.9999998942165428,0.677340556037166,0.3510578606259091,0.5483164892872059,21.198017224454507,0.0107680470554347
xorX,10,1,1,0.2,multi_mags,product,1.0,0.0,1.0,0.0190324364217821,0.4737588691964928,0.6360223120672576,0.471067418527747,0.186504026689016,0.4658182670061939,0.0526596623708492,0.0231811326051602
xorX,10,1,1,0.2,multi_mags,product,1.0,0.0,1.0,0.017260994820875,0.5053437251194477,0.5740644800360277,0.3606480138713889,0.07391928214062,0.3935626897583271,0.2324702452875571,0.036270469192214
xorX,10,1,1,0.2,multi_mags,xorX,1.0,0.0,1.0,0.004499528093967,0.8379972779436677,0.4652276878841284,0.0813224633291223,0.0019791156875109,0.3039244897621512,12.819264489059131,0.0172763842755429
xorX,10,1,1,0.2,multi_mags,xorX,1.0,0.0,1.0,0.0038147284124467,0.8071597154263619,0.2052906625445389,0.1042697534199442,0.0028804688423168,0.3079900903969584,13.289677164890186,0.0170839633126464
xorX,10,1,2,0.2,fidelity,product,1.0,0.0,1.0,7.397680561460618e-05,0.2684518660668922,0.9999260231943854,0.7315481339331078,0.2685746443160025,0.5088513291639649,1.8593906364134896,0.0422661950209924
xorX,10,1,2,0.2,fidelity,product,1.0,0.0,1.0,1.7413494589058054e-05,0.2392125295253206,0.9999825865054108,0.7607874704746793,0.3211678352480158,0.5165758813842884,2.225955560563187,0.0434523955989433
xorX,10,1,2,0.2,fidelity,xorX,1.0,0.0,1.0,0.0013287073682097,0.319775079706366,0.9986712926317902,0.680224920293634,0.3524722298465184,0.5485591935927777,20.27713435765175,0.0107902123369821
xorX,10,1,2,0.2,fidelity,xorX,1.0,0.0,1.0,0.0013287073682097,0.3187064301955388,0.9986712926317902,0.6812935698044612,0.3524722298465184,0.5485591935927777,20.27713435765175,0.0107902123369821
xorX,10,1,2,0.2,multi_mags,product,1.0,0.0,1.0,0.0178658987464974,0.7085964610097014,0.6789391813383578,0.2641160803438648,0.0160756988359653,0.332505417452938,8.17449639180858,0.1440811056062275
xorX,10,1,2,0.2,multi_mags,product,1.0,0.0,1.0,0.0305986580670746,0.5733255009313557,0.7259605159924365,0.3875722045925587,0.0791363536675304,0.3964453860668043,3.462423124652098,0.0995024359214334
xorX,10,1,2,0.2,multi_mags,xorX,1.0,0.0,1.0,0.0021200906639707,0.7954318611079281,0.0563076565416412,0.0663521204109058,0.0010659476858469,0.2961196863326795,16.64289982901859,0.0178655940153271
xorX,10,1,2,0.2,multi_mags,xorX,1.0,0.0,1.0,0.0021200906639707,0.782844080423263,0.0563076565416412,0.0761195422207228,0.0010659476858469,0.2961196863326795,16.64289982901859,0.0178655940153271
xorX,10,1,3,0.2,fidelity,product,1.0,0.0,1.0,1.776207633097382e-05,0.0109713527951336,0.999982237923669,0.9890286472048664,0.935920041701009,0.8704656669385642,0.0407466050836441,0.0052503623957116
xorX,10,1,3,0.2,fidelity,product,1.0,0.0,1.0,1.89408329913654e-05,0.012598451576488,0.9999810591670086,0.987401548423512,0.9234941857021974,0.8112776148620582,0.0198417627046955,0.0066855128017829
xorX,10,1,3,0.2,fidelity,xorX,1.0,0.0,1.0,2.6903513425935444e-06,0.3250471424549047,0.9999973096486574,0.6749528575450953,0.3479504656757175,0.5468234182746423,19.52925701077055,0.0107258133137514
xorX,10,1,3,0.2,fidelity,xorX,1.0,0.0,1.0,2.6903513425935444e-06,0.3279768878098892,0.9999973096486574,0.6720231121901108,0.3479504656757175,0.5468234182746423,19.52925701077055,0.0107258133137514
xorX,10,1,3,0.2,multi_mags,product,1.0,0.0,1.0,0.0140115803278185,0.443636130934862,0.6918719205014644,0.4573638113468917,0.0671706826120994,0.3865670673465603,7.073562592050172,0.1196582771580501
xorX,10,1,3,0.2,multi_mags,product,1.0,0.0,1.0,0.0135267300401019,0.4228692451901401,0.7049699265889624,0.5337407787409556,0.1062222434854975,0.4169985938050248,4.720620254454476,0.1177003006986116
xorX,10,1,3,0.2,multi_mags,xorX,1.0,0.0,1.0,0.0033219509804053,0.9834340591040818,0.174453803960684,0.1154422432128991,0.0015564030187124,0.3008529070794744,15.505647565583487,0.0177182733279086
xorX,10,1,3,0.2,multi_mags,xorX,1.0,0.0,1.0,0.0033219509804053,1.0065161731647798,0.174453803960684,0.100896631470046,0.0015564030187124,0.3008529070794744,15.505647565583487,0.0177182733279086
xorX,10,1,4,0.2,fidelity,product,1.0,0.0,1.0,2.9571567263797505e-05,0.000766042112038,0.9999704284327362,0.999233957887962,0.9916846644293807,0.8736620662184769,0.0150335690271389,0.0025303412737419
xorX,10,1,4,0.2,fidelity,product,1.0,0.0,1.0,2.487202405643263e-05,0.0002370757976168,0.9999751279759436,0.9997629242023832,0.998484335532455,0.8803006137047658,0.0032167730547899,0.0018244851134647
xorX,10,1,4,0.2,fidelity,xorX,1.0,0.0,1.0,1.627072604426516e-06,0.3268982818624875,0.9999983729273956,0.6731017181375125,0.3476109903763265,0.5466508352487187,18.84773031624366,0.0106556011566941
xorX,10,1,4,0.2,fidelity,xorX,1.0,0.0,1.0,1.627072604426516e-06,0.3223689449604983,0.9999983729273956,0.6776310550395017,0.3476109903763265,0.5466508352487187,18.84773031624366,0.0106556011566941
xorX,10,1,4,0.2,multi_mags,product,1.0,0.0,1.0,0.0173869238363384,0.3628528967331459,0.7675468697653394,0.6478603839614082,0.2016097623762896,0.4651919249295856,3.0669291745549474,0.0904919872441166
xorX,10,1,4,0.2,multi_mags,product,1.0,0.0,1.0,0.0156523401188503,0.3002678825936253,0.8460639278405435,0.7462102072681913,0.2551036555833193,0.4992367758053916,2.128483249424098,0.0679717784883948
xorX,10,1,4,0.2,multi_mags,xorX,1.0,0.0,1.0,0.0014517551047524,1.0155318903073487,0.2776624852365364,0.1002049235672384,0.0018283047817802,0.3024745152044908,15.565404532490057,0.0167135080788645
xorX,10,1,4,0.2,multi_mags,xorX,1.0,0.0,1.0,0.0014517551047524,1.0277748274000726,0.2776624852365364,0.0906214226135022,0.0018283047817802,0.3024745152044908,15.565404532490057,0.0167135080788645
xorX,10,1,5,0.2,fidelity,product,1.0,0.0,1.0,5.1212564723401854e-06,0.0002443066741517,0.9999948787435275,0.9997556933258482,0.9990325347703166,0.8928679260077786,0.0006309439966337,0.0014962689747074
xorX,10,1,5,0.2,fidelity,product,1.0,0.0,1.0,6.111876143632955e-06,3.72476724813664e-05,0.9999938881238564,0.9999627523275186,0.9998862931679842,0.9066173671896586,0.0001579511455381,0.0011770408461423
xorX,10,1,5,0.2,multi_mags,product,1.0,0.0,1.0,0.0134885716788262,0.2317119521510061,0.8796890735725313,0.8129154701594727,0.474041177012049,0.604428703201031,0.4191095410019037,0.0329817086101145
xorX,10,1,5,0.2,multi_mags,product,1.0,0.0,1.0,0.0147074231474902,0.1995692723823548,0.9260446774285992,0.8653217702999322,0.611603609529827,0.6696155283800795,0.2716261092817746,0.0230758810533332
