model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide
XXZ_inhomo,10,1,1,0.02,fidelity,non_product,1.0,-2.0,0.0,0.9999963876662852,0.9989844719338168,0.0002712867116981,1.4200972003886037e-06,1.378224223969049e-06,0.9999985799027996,0.999998621775776
XXZ_inhomo,10,1,1,0.02,fidelity,non_product,1.0,-2.0,0.0,0.9999968861962972,0.9991012489333504,0.0001971578167647,2.1673381221942734e-06,9.963700690063249e-07,0.9999978326618778,0.999999003629931
XXZ_inhomo,10,1,1,0.04,fidelity,non_product,1.0,-2.0,0.0,0.9999105362571714,0.9952641883528448,0.0009464976934685,8.123576855334491e-05,3.668706037385228e-05,0.9999187642314468,0.999963312939626
XXZ_inhomo,10,1,1,0.04,fidelity,non_product,1.0,-2.0,0.0,0.999886040905021,0.9924969631172532,0.0025201125866698,6.756778868544089e-05,4.124757040990801e-05,0.9999324322113146,0.99995875242959
XXZ_inhomo,10,1,1,0.06,fidelity,non_product,1.0,-2.0,0.0,0.9999699334704734,0.9971507129483318,0.0002687579139922,2.352326415178129e-05,0.0002251753168961,0.9999764767358482,0.999774824683104
XXZ_inhomo,10,1,1,0.06,fidelity,non_product,1.0,-2.0,0.0,0.9998714338686652,0.9940061719427316,0.0010472301400576,8.10017758299253e-05,0.0002680986549848,0.99991899822417,0.9997319013450152
XXZ_inhomo,10,1,1,0.08,fidelity,non_product,1.0,-2.0,0.0,0.9999960011728672,0.9952034328528024,3.312938213261431e-05,1.6891833627408204e-06,1.4593064165957514e-06,0.9999983108166371,0.9999985406935834
XXZ_inhomo,10,1,1,0.08,fidelity,non_product,1.0,-2.0,0.0,0.9999959349137516,0.9909405135668372,4.0055720747530006e-05,2.2220442837950216e-06,1.3365219939664996e-06,0.9999977779557162,0.999998663478006
XXZ_inhomo,10,1,1,0.1,fidelity,non_product,1.0,-2.0,0.0,0.9994467628626378,0.986399465000708,0.001778642296939,0.0002352174179041,0.0002137380258824,0.999764782582096,0.9997862619741176
XXZ_inhomo,10,1,1,0.1,fidelity,non_product,1.0,-2.0,0.0,0.9999220448135604,0.9810309052986588,0.0002763818413489,3.3062775920855714e-05,3.09394475273006e-05,0.9999669372240793,0.9999690605524728
XXZ_inhomo,10,1,1,0.12,fidelity,non_product,1.0,-2.0,0.0,0.999442675991882,0.98742731767653,0.0007117978964619,0.0001145541745599,0.0004366951390736,0.99988544582544,0.9995633048609264
XXZ_inhomo,10,1,1,0.12,fidelity,non_product,1.0,-2.0,0.0,0.999918961368348,0.9950626295580524,0.0001976952762368,0.00012710528512,0.0002388724144358,0.99987289471488,0.999761127585564
XXZ_inhomo,10,1,1,0.14,fidelity,non_product,1.0,-2.0,0.0,0.9995509078734428,0.9887368511781596,0.0004655153418852,0.0006426951214711,0.0001346787787505,0.9993573048785288,0.9998653212212496
XXZ_inhomo,10,1,1,0.14,fidelity,non_product,1.0,-2.0,0.0,0.999996541398651,0.995414556773756,1.65159840287679e-05,4.807903254411272e-07,1.4138841484268028e-06,0.9999995192096746,0.9999985861158516
XXZ_inhomo,10,1,1,0.16,fidelity,non_product,1.0,-2.0,0.0,0.9999965532237104,0.998382357803876,4.8017614203688e-06,5.09885313415559e-07,1.4644976652489206e-06,0.9999994901146866,0.9999985355023348
XXZ_inhomo,10,1,1,0.16,fidelity,non_product,1.0,-2.0,0.0,0.9999906762407637,0.9946173404169014,2.34570363514268e-05,7.562086023482628e-06,3.5405986238412623e-06,0.9999924379139764,0.9999964594013762
XXZ_inhomo,10,1,1,0.18,fidelity,non_product,1.0,-2.0,0.0,0.9996921414884518,0.991125886479422,0.000356066218541,0.0001810729690939,0.0003139456213412,0.999818927030906,0.9996860543786588
XXZ_inhomo,10,1,1,0.18,fidelity,non_product,1.0,-2.0,0.0,0.9999998392066785,0.9986247571267408,1.069495071167052e-07,5.8445540629392674e-08,0.0002215741008382,0.9999999415544594,0.9997784258991618
XXZ_inhomo,10,1,1,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999938018952484,0.9987299414412883,9.449710055896376e-06,2.4307592424444024e-06,2.665824630820879e-06,0.9999975692407576,0.9999973341753692
XXZ_inhomo,10,1,1,0.2,fidelity,non_product,1.0,-2.0,0.0,0.999721189233422,0.9904205458976778,0.0003066989263746,0.0001592190545123,9.363426351638449e-05,0.9998407809454876,0.9999063657364836
XXZ_inhomo,10,1,1,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999803697967912,0.997621788400232,2.673118528698614e-05,2.412279738894796e-05,7.83215134492199e-06,0.999975877202611,0.9999921678486552
XXZ_inhomo,10,1,1,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999997376968176,0.9990390532310324,1.8274096168777379e-07,1.0204800215962709e-07,7.771782025711715e-07,0.9999998979519978,0.9999992228217974
XXZ_inhomo,10,1,1,0.2,fidelity,non_product,1.0,-2.0,0.0,0.99999093961899,0.9983051880392644,1.852258298588412e-05,9.78341046409259e-06,4.036396411000176e-06,0.999990216589536,0.999995963603589
XXZ_inhomo,10,1,1,0.2,fidelity,non_product,1.0,-2.0,0.0,0.999941171835777,0.9954227619320962,8.97390707711271e-05,2.588225732613747e-05,2.372870868017074e-05,0.999974117742674,0.9999762712913198
XXZ_inhomo,10,1,2,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999991666416148,0.9993830633996272,6.557639702033344e-07,2.900563673691181e-07,1.0530657562624055e-06,0.9999997099436326,0.9999989469342436
XXZ_inhomo,10,1,2,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999626607761838,0.9968072181748644,0.0001123140661418,1.7129772865498438e-05,1.4045346834690164e-05,0.9999828702271344,0.9999859546531652
XXZ_inhomo,10,1,3,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999420255970464,0.9961850856706363,0.0001535148193683,2.955101815227401e-05,2.341546819628615e-05,0.9999704489818476,0.9999765845318036
XXZ_inhomo,10,1,3,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999942840119028,0.998581660521332,9.245131925974816e-06,4.202622420623747e-06,2.6201572083106583e-06,0.9999957973775794,0.9999973798427916
XXZ_inhomo,10,1,4,0.2,fidelity,non_product,1.0,-2.0,0.0,0.9999994518478632,0.9989701013398884,8.035304861266268e-07,5.762515378204824e-07,8.774971698155554e-07,0.9999994237484622,0.9999991225028302
