model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide,depth,lambda,H_diff
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,non_product,1.0,-2.0,0.0,0.9999963876662852,0.9989844719338168,0.0002712867116981,1.4200972003886037e-06,1.378224223969049e-06,0.9999985799027996,0.999998621775776,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,non_product,1.0,-2.0,0.0,0.9999968861962972,0.9991012489333504,0.0001971578167647,2.1673381221942734e-06,9.963700690063249e-07,0.9999978326618778,0.999999003629931,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,non_product,1.0,0.0,0.0,0.9995660052160428,0.9827270878551048,0.1617001889869923,0.0005338997528946,0.0001430778503562,0.9994661002471054,0.9998569221496436,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,non_product,1.0,0.0,0.0,0.999792182150711,0.9924634658032032,0.0577037022974443,0.000119953008739,7.910071711125788e-05,0.999880046991261,0.9999208992828889,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,non_product,1.0,2.0,0.0,0.999969511555146,0.9971605472898416,0.0035713627894365,1.2426972173407158e-05,1.1907991955495412e-05,0.9999875730278266,0.9999880920080444,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,non_product,1.0,2.0,0.0,0.9999996745949624,0.9994839629607444,2.3799415216135187e-05,1.2641305757732368e-07,1.1625131690617962e-07,0.9999998735869424,0.9999998837486832,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,product,1.0,-2.0,0.0,0.9735736837542438,0.9179884759541804,38.80903466223609,2.702030345580475e-06,0.0086898397174813,0.9999972979696544,0.9913101602825186,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,product,1.0,-2.0,0.0,0.9914864565155428,0.953720744762806,8.393059653739968,2.8028284062120434e-05,0.0020555215763459,0.999971971715938,0.997944478423654,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,product,1.0,0.0,0.0,0.9806433203823192,0.928341698613668,34.59202551566282,0.0001135045979638,0.0060186648071389,0.999886495402036,0.993981335192861,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,product,1.0,0.0,0.0,0.9876946060207956,0.9443976400492642,18.399712462021125,9.626714392307887e-06,0.0046301385913199,0.9999903732856076,0.99536986140868,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,product,1.0,2.0,0.0,0.9818909146692542,0.9311060170029338,24.263711453365243,0.0001623525187909,0.0067701532433775,0.9998376474812092,0.9932298467566224,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,fidelity,product,1.0,2.0,0.0,0.981873060507745,0.9318969693755464,22.70690274257141,1.8285709590615266e-05,0.007024792900185,0.9999817142904094,0.9929752070998148,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,multi_mags,non_product,1.0,-2.0,0.0,0.2123596494101537,0.4773493973220961,3440.9890612470044,0.0014643427726766,0.6325697270105637,0.4731609187779749,0.5340249910943345,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,multi_mags,non_product,1.0,-2.0,0.0,0.1963308046123671,0.4701712250294519,3669.44445936787,0.0012860118878087,0.5746122632092466,0.4548575834811066,0.572190370553668,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,multi_mags,non_product,1.0,0.0,0.0,0.1798560106275038,0.4627651368328314,3864.384708163661,0.0011330689209711,0.5786578803536844,0.3931826618810822,0.5551969016744586,,,
XXZ_inhomo,10.0,1.0,1.0,0.02,multi_mags,non_product,1.0,0.0,0.0,0.1410707971783829,0.4399056522638122,4338.842409280029,0.0014781254339941,0.6145855149962568,0.363839991615123,0.5319435134767383,,,
