length,dot_size,alpha,time_interval,evol_num,sample_num,train_set_type,loss,gate_fidelity,spectrum_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,3.0,0.5,0.02,5.0,1.0,product,multi_mags,0.938527470478523,0.3656866467708433,0.0109948988737288,0.0961331690219369,0.9987179674703984,0.9861903591207826
10,3.0,0.5,0.02,6.0,1.0,product,multi_mags,0.9883357467374309,0.1717426940887654,0.0184164357310854,0.0371611506104189,0.998801177638551,0.9970802386279104
10,3.0,0.5,0.02,7.0,1.0,product,multi_mags,0.9771435407226984,0.2106423260058968,0.0142598910137346,0.0556774361259962,0.997054196526095,0.9924194884572968
10,3.0,0.5,0.02,8.0,1.0,product,multi_mags,0.9763690167857229,0.2123935133186102,0.0212651793867778,0.0628326643475635,0.9981705335757228,0.9924624365303992
10,3.0,0.5,0.02,9.0,1.0,product,multi_mags,0.9822855079318352,0.1788861046276672,0.0151698330831136,0.0516877458046409,0.99938469938291,0.995906827481885
10,3.0,0.5,0.02,10.0,1.0,product,multi_mags,0.8638400012320647,0.565229972526981,0.0193558652516443,0.2072089491473932,0.9983320716071016,0.9385382869420672
10,3.0,0.5,0.02,20.0,1.0,product,multi_mags,0.9833260767342968,0.1647710339312546,0.0118193451366213,0.0494846924656109,0.9989769204940014,0.9958198947585796
10,3.0,0.5,0.02,30.0,1.0,product,multi_mags,0.9687033998474738,0.2422023760203045,0.0114610537192516,0.06974732469877,0.9985944401278088,0.991306275235278
10,3.0,0.5,0.02,40.0,1.0,product,multi_mags,0.7727026230589351,0.7625747703014126,0.0103823531108772,0.1904948427186953,0.9990059525369124,0.9452621027459082
10,3.0,0.5,0.02,50.0,1.0,product,multi_mags,0.9824040967471254,0.174913764226334,0.0195380653729031,0.0551926859152089,0.999105990315963,0.9943176906566144
10,3.0,0.5,0.02,60.0,1.0,product,multi_mags,0.9763900301163444,0.2101550498210373,0.0161410101378792,0.0484282796325313,0.9980908493186734,0.9948216708386632
10,3.0,0.5,0.02,70.0,1.0,product,multi_mags,0.7178056523336871,0.8787983324353565,0.0072397246015832,0.2987141472292918,0.9981864320385262,0.8726637839078413
10,3.0,0.5,0.02,80.0,1.0,product,multi_mags,0.9889699908833066,0.1293198120796857,0.0113357868749819,0.0363628664514012,0.9992885604240732,0.997332764391064
10,3.0,0.5,0.02,90.0,1.0,product,multi_mags,0.9552193794193784,0.3030725239547623,0.0153108865719747,0.0672985132297305,0.9986739795666892,0.9912111351744352
10,3.0,0.5,0.02,100.0,1.0,product,multi_mags,0.9507959834513776,0.3219845464799201,0.0105020731263205,0.0892249107068415,0.9996677007529062,0.9811771821444556
10,3.0,0.75,0.02,1.0,1.0,product,multi_mags,0.9790965438894692,0.2067726009668895,0.0200054757324669,0.0543323056728157,0.9989390832638868,0.9939102285652917
10,3.0,0.75,0.02,2.0,1.0,product,multi_mags,0.4872984464245804,1.3038192435265148,0.0173870596978646,0.2754009239334566,0.998955610579265,0.9123837256176588
10,3.0,0.75,0.02,3.0,1.0,product,multi_mags,0.9829221927534784,0.1773034152311534,0.0141416241658401,0.033737397703411,0.9983113235924804,0.997348067188126
10,3.0,0.75,0.02,4.0,1.0,product,multi_mags,0.9472032232601976,0.3500226060038182,0.0120648279035824,0.0744256572225608,0.9988180758126232,0.9910120781357946
10,3.0,0.75,0.02,5.0,1.0,product,multi_mags,0.9794985243082234,0.1931227927750922,0.0128790025796586,0.0635198379220515,0.9992032799795894,0.994572835251346
10,3.0,0.75,0.02,6.0,1.0,product,multi_mags,0.9680739781195398,0.2625349887781045,0.0344579455156514,0.0719388206205881,0.9975383064331867,0.9912709676413706
10,3.0,0.75,0.02,7.0,1.0,product,multi_mags,0.8237542643790222,0.6669219572385741,0.0146215782511487,0.1958410863566003,0.998633108408844,0.931217043976576
10,3.0,0.75,0.02,8.0,1.0,product,multi_mags,0.2803548631670664,1.9689615807357936,0.0125837329863149,0.5905063558606931,0.9987345094440516,0.5129946110978838
10,3.0,0.75,0.02,9.0,1.0,product,multi_mags,0.9874368648229576,0.1443814410278446,0.0222544788234123,0.0394833680495884,0.9988929651683875,0.9968083527946894
10,3.0,0.75,0.02,10.0,1.0,product,multi_mags,0.9437230100503562,0.341088088798187,0.0160218311831433,0.0584094117033525,0.9992065471783792,0.9941855492016596
10,3.0,0.75,0.02,20.0,1.0,product,multi_mags,0.978757992320722,0.2039930305411585,0.0120476678475761,0.044594672752749,0.9990686702548316,0.9950465013766462
10,3.0,0.75,0.02,30.0,1.0,product,multi_mags,0.9666454407923224,0.247685747467479,0.0147592533096999,0.0523410865544833,0.9982327068611369,0.9951284693286884
10,3.0,0.75,0.02,40.0,1.0,product,multi_mags,0.9829343985423914,0.1791816013878425,0.0157128332849064,0.0455342864308928,0.9989552939779722,0.9956255387587516
10,3.0,0.75,0.02,50.0,1.0,product,multi_mags,0.9820991220462074,0.1712417739883092,0.0132385466810158,0.0459853093601279,0.99893379040534,0.9967444782430946
10,3.0,0.75,0.02,60.0,1.0,product,multi_mags,0.9180024042119468,0.4293531079300389,0.0139292712695522,0.1281949179160623,0.9986571510700296,0.9660655939914864
10,3.0,0.75,0.02,70.0,1.0,product,multi_mags,0.9803796776615488,0.1884956635712465,0.0173804381308392,0.0563187524162369,0.9987721080090236,0.9958557920019274
10,3.0,0.75,0.02,80.0,1.0,product,multi_mags,0.9521949249681504,0.3182444070327106,0.0111868129869266,0.0868908044799156,0.9989084396338967,0.9867778426441672
10,3.0,0.75,0.02,90.0,1.0,product,multi_mags,0.9716885125790352,0.2478799695001378,0.0113584908788548,0.0662161496500612,0.998304661750836,0.9922217279853808
10,3.0,0.75,0.02,100.0,1.0,product,multi_mags,0.9059818286854489,0.4621054263594643,0.0201473634101472,0.2706494830455871,0.9985912398419268,0.9229894818124552
10,3.0,0.75,0.04,1.0,1.0,product,multi_mags,0.9692187470620788,0.1027027536434081,0.0156170826614155,0.0517837188330381,0.9991990268404612,0.990834539266536
10,3.0,0.75,0.04,2.0,1.0,product,multi_mags,0.8900038069597561,0.2340581048169782,0.0332300633304215,0.0845613107901021,0.9970720440015992,0.977681070144828
10,3.0,0.75,0.04,3.0,1.0,product,multi_mags,0.9356619022046472,0.1741625182356503,0.0137978980740681,0.1062073896434001,0.9993274331290029,0.9836028064564316
10,3.0,0.75,0.04,4.0,1.0,product,multi_mags,0.8607850430297456,0.2757629577827507,0.0158087316121902,0.1475772981250663,0.9990607161929156,0.9592944285299968
10,3.0,0.75,0.04,5.0,1.0,product,multi_mags,0.9676525937523988,0.1111124141327914,0.0147246396088508,0.0655741224302434,0.9978987058991068,0.992221307667531
10,3.0,0.75,0.04,6.0,1.0,product,multi_mags,0.9806477281110356,0.080322975420248,0.0162220862519224,0.0433186567977586,0.9981645677089273,0.9956606631206256
10,3.0,0.75,0.04,7.0,1.0,product,multi_mags,0.9689588928723624,0.1215269843290436,0.0164004311332071,0.1198878225757577,0.9985880309116092,0.982681483130828
10,3.0,0.75,0.04,8.0,1.0,product,multi_mags,0.9701098866000668,0.1008013719737744,0.0193677392414425,0.0641668774682046,0.9987850018187118,0.9891589040840504
10,3.0,0.75,0.04,9.0,1.0,product,multi_mags,0.9560454865364798,0.1401372635110811,0.0189040988664423,0.0733621981419127,0.9990098476874912,0.9880970669413004
10,3.0,0.75,0.04,10.0,1.0,product,multi_mags,0.841435084923383,0.2988464921488388,0.0116608466392654,0.1176512631723131,0.9987820657062652,0.9761091582633472
10,3.0,0.75,0.04,20.0,1.0,product,multi_mags,0.8169312410081835,0.3218890882189141,0.0152770818007784,0.2344807462139836,0.9973892769839566,0.9366422380035144
10,3.0,0.75,0.04,30.0,1.0,product,multi_mags,0.9768305495655436,0.0853079190198614,0.0138746129970899,0.0441858947949964,0.998652159570167,0.9964242563852852
10,3.0,0.75,0.04,40.0,1.0,product,multi_mags,0.972701164764608,0.0980135189280826,0.0115110350375202,0.0703042862483898,0.9996348792582364,0.9928436309357804
10,3.0,0.75,0.04,50.0,1.0,product,multi_mags,0.983507614766666,0.0686380128501571,0.0123975084514212,0.0662051573370584,0.9989049933749048,0.9935039400320744
10,3.0,0.75,0.04,60.0,1.0,product,multi_mags,0.9401394358226248,0.1610831853035121,0.01653278392966,0.1165586287527908,0.999148387816957,0.9786204855637808
10,3.0,0.75,0.04,70.0,1.0,product,multi_mags,0.9759759703214888,0.0918115638787472,0.0216361567346523,0.0509816942610363,0.9983672475600072,0.9946433246524996
10,3.0,0.75,0.04,80.0,1.0,product,multi_mags,0.9120270051225904,0.204373157518732,0.0071776894542515,0.1040682076401554,0.999581236385948,0.9786494865409018
