model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,gate_fidelity,similarity,spectrum_diff,train_loss,test_loss,train_fide,test_fide
PXP,10,1,1,0.02,multi_mags,Z2,0.0660200917067795,0.3883336374060809,5478.325331510697,0.0018824474331206,0.7265945227675403,0.9999314229042228,0.417821727790181
PXP,10,1,1,0.02,multi_mags,Z2,0.0888151396859284,0.4062280179234327,5106.285476081824,0.0042388275597601,0.763656377924327,0.99975338476722,0.3655824957106038
PXP,10,1,1,0.02,multi_mags,Z2,0.187261080910031,0.4658142439266362,3782.1496840834543,0.0061296963681985,0.6417708986050666,0.9997688218366616,0.4944172854417545
PXP,10,1,1,0.02,multi_mags,Z2,0.1432885527800063,0.4418219668968581,4244.327713399683,0.0054488087219417,0.6502625553656196,0.9995781011099404,0.4954323577310232
PXP,10,1,1,0.02,multi_mags,Z2,0.0509267252810483,0.3755950009942463,5807.102173203062,0.0048565804232337,0.9016873708995908,0.9997376826551436,0.2792487188266854
PXP,10,1,1,0.02,multi_mags,non_product,0.1613737897730433,0.4501044253285809,4109.309791016014,0.0017475727023607,0.6780163098216562,0.3968459563561758,0.4721129550964354
PXP,10,1,1,0.02,multi_mags,non_product,0.1969462311079324,0.4704240635254741,3695.5109333357714,0.0008446990625705,0.6182993826915437,0.388836855298682,0.5546880965090573
PXP,10,1,1,0.02,multi_mags,non_product,0.3804646496263132,0.5587108627124244,2213.2039933867736,0.0005304657323708,0.4037600193740873,0.6253928644384255,0.7308685818010416
PXP,10,1,1,0.02,multi_mags,non_product,0.2258504846917595,0.487150516208474,3391.0845303700025,0.0012791741326863,0.549954655050247,0.4856044236537215,0.582530018063605
PXP,10,1,1,0.02,multi_mags,non_product,0.1839836962195557,0.4641580819900353,3787.975784360433,0.0010560062524247,0.6058672781184729,0.417409987508946,0.5289888059586304
PXP,10,1,1,0.02,multi_mags,product,0.521634544402571,0.6248859283388339,1556.9484361630327,0.0143826986563975,0.3216589227322036,0.999009373924206,0.8253854312192189
PXP,10,1,1,0.02,multi_mags,product,0.7303811463131907,0.7260065342876031,704.2675562076064,0.0359185758926439,0.1846028904088817,0.9939193000828406,0.924955045346687
PXP,10,1,1,0.02,multi_mags,product,0.6351439074550306,0.6794782429560532,1049.724135026643,0.0251612282891982,0.2623223635330167,0.9967026283084136,0.8904268381745141
PXP,10,1,1,0.02,multi_mags,product,0.2247870267675176,0.4867769173565092,4422.749427697567,0.0287427356378074,0.5344941915153717,0.9958566667698878,0.561491503541214
PXP,10,1,1,0.02,multi_mags,product,0.7713918796257926,0.7489929560737494,573.4434755274593,0.0257727336026504,0.1905122712131113,0.9976900928760494,0.9304062600670812
PXP,10,1,1,0.04,multi_mags,Z2,0.0854309652061074,0.4037485047612291,1218.2912218187644,0.0069341590838217,0.8104125022592144,0.9998228977626876,0.3157431375061356
PXP,10,1,1,0.04,multi_mags,Z2,0.0601348961858526,0.3836119709570451,1337.2342695619718,0.0059613780122878,0.7603575398754577,0.9998109822143616,0.3606953128298517
PXP,10,1,1,0.04,multi_mags,Z2,0.1280381507709886,0.4328225413477993,1090.4135716894311,0.0060551830560329,0.652354565249608,0.9997666145350949,0.4881528713397988
PXP,10,1,1,0.04,multi_mags,Z2,0.2102678263889405,0.4785247719681941,851.2837428002148,0.0080748748355634,0.6472058241075197,0.9998687459315784,0.4846533387162647
PXP,10,1,1,0.04,multi_mags,Z2,0.1320035872286995,0.4346440835217303,1064.516362103417,0.0056833610950802,0.6503375531985643,0.9997411525749296,0.4870576691645358
PXP,10,1,1,0.04,multi_mags,non_product,0.2103911083197101,0.4777775052263376,834.6559662418482,0.0019633983592151,0.5887827700422655,0.4715699253187816,0.5702153436292013
PXP,10,1,1,0.04,multi_mags,non_product,0.2605393354935847,0.5042731571733958,736.6849677225578,0.0006431188544272,0.645694793593866,0.5105836652775053,0.5102936200005028
PXP,10,1,1,0.04,multi_mags,non_product,0.2025206006632146,0.475077945436386,840.0514624400942,0.0015464986674662,0.5519083343792784,0.4217025817971047,0.5892590328085793
PXP,10,1,1,0.04,multi_mags,non_product,0.2752504921286637,0.5121057158252252,690.6684685596434,0.0017152541525672,0.5416683467705407,0.5209606410248949,0.5928309901578572
PXP,10,1,1,0.04,multi_mags,non_product,0.1963632677173009,0.470804713269391,875.4617321777847,0.000874162448313,0.6481940611144966,0.4407849222943187,0.503327348316815
PXP,10,1,1,0.04,multi_mags,product,0.7141562924424077,0.7206037577598357,170.45433710828272,0.0219196644417271,0.2201501423603969,0.9973255345651768,0.9156947206041268
PXP,10,1,1,0.04,multi_mags,product,0.6053094746778064,0.6664898557735751,259.04471452453225,0.0226007616592476,0.2874153447037926,0.9969317799408322,0.8728351022493955
PXP,10,1,1,0.04,multi_mags,product,0.7474838415580014,0.7370666868803744,143.75562264814204,0.0188057695904565,0.2173055508369799,0.9953078983275222,0.9080295532324776
PXP,10,1,1,0.04,multi_mags,product,0.0726786267743424,0.3949749828734969,1502.3287014249977,0.0318265464948874,0.7101565349969559,0.9964802121190344,0.3812829525579226
PXP,10,1,1,0.04,multi_mags,product,0.7158642270943285,0.7190703600277413,166.92599418109273,0.0356239441244823,0.1919815269054091,0.996249104702715,0.9297692174586628
PXP,10,1,1,0.06,multi_mags,Z2,0.1751861471157501,0.4556448717256899,413.323067878142,0.0042610665789602,0.7145183908937601,0.9996814579350024,0.4482430707438554
PXP,10,1,1,0.06,multi_mags,Z2,0.3269826689396698,0.5359687188015736,270.35793509546335,0.0049715613757689,0.5369596026720633,0.9998372890061792,0.6328924986690053
PXP,10,1,1,0.06,multi_mags,Z2,0.0494330993265094,0.3674513574046547,637.9865701615789,0.0038309976275299,0.7975936759884723,0.9997916025808082,0.3251248345585408
PXP,10,1,1,0.06,multi_mags,Z2,0.1761516455712586,0.4576641627812771,418.1231368987049,0.0062496232978813,0.6346320020349352,0.9997708359043112,0.4917734571291522
PXP,10,1,1,0.06,multi_mags,Z2,0.2438547247674135,0.4912168808830892,337.4988702374095,0.0103176758385703,0.5174552310737698,0.9996938522447468,0.6288358689526244
PXP,10,1,1,0.06,multi_mags,non_product,0.2407031291393539,0.4948908673553081,341.22229201865923,0.0010512870070441,0.622226566315633,0.4772751131110789,0.5577872550178326
PXP,10,1,1,0.06,multi_mags,non_product,0.376912493011511,0.5589338301838525,234.8630326190214,0.0009260014601576,0.4981928114787379,0.624133582082386,0.664923270981308
PXP,10,1,1,0.06,multi_mags,non_product,0.1651206240612438,0.4516245135721386,431.9116596990999,0.0005667854652525,0.7144547997055313,0.3805642592110282,0.4240361038994309
PXP,10,1,1,0.06,multi_mags,non_product,0.317897007478321,0.5324533508827889,273.427387425579,0.0018191098569018,0.579210419657904,0.5677098123468475,0.5667809086571505
PXP,10,1,1,0.06,multi_mags,non_product,0.3298816175355675,0.5353459998594106,268.02454404165843,0.0007774986523713,0.4829245428114445,0.5690507644297467,0.6665630711082562
PXP,10,1,1,0.06,multi_mags,product,0.3874014281879641,0.5650859220066589,227.3016193392276,0.0158086408643587,0.4190192593482796,0.9985394227415486,0.7548211174744333
PXP,10,1,1,0.06,multi_mags,product,0.6362360667263272,0.6799029985896021,102.55685568246872,0.0249538181764685,0.2416719895400523,0.995044230019014,0.8942588860385561
PXP,10,1,1,0.06,multi_mags,product,0.4990897593537695,0.6120559119262847,166.57686962389138,0.0483372827887532,0.3156822187880364,0.9950723287742936,0.8281412565023039
PXP,10,1,1,0.06,multi_mags,product,0.8301824969914391,0.7876846073236727,38.04985958838087,0.0294820990285604,0.1524692582419839,0.9965876578684392,0.9562047179189364
PXP,10,1,1,0.06,multi_mags,product,0.1998861396255031,0.473745368705187,523.3406349036171,0.0199306970352459,0.5367696145402621,0.9962570718327498,0.5738601394034725
PXP,10,1,1,0.08,multi_mags,Z2,0.4967362577894276,0.610307754358032,80.39171071604764,0.0055804881152602,0.4320679560365544,0.999772898882488,0.7346194813041851
PXP,10,1,1,0.08,multi_mags,Z2,0.1354748853949573,0.4356318193579359,239.27759407120868,0.0053519908808287,0.6341065846021546,0.9999221134322508,0.4638197634336823
PXP,10,1,1,0.08,multi_mags,Z2,0.1529213209858035,0.4477153048210545,226.94530065193428,0.0072020482221144,0.5686869070613197,0.9995126444838474,0.5589741564971503
PXP,10,1,1,0.08,multi_mags,Z2,0.4850951491328716,0.5917713122501225,84.82391207821497,0.005623568433644,0.4300496183098231,0.9994227368011576,0.7811863706172263
PXP,10,1,1,0.08,multi_mags,Z2,0.0704401266853962,0.3919448141287862,309.5047208262155,0.0084740502805449,0.6627366957296968,0.9996482140705298,0.4728892181717901
PXP,10,1,1,0.08,multi_mags,non_product,0.2335897597145599,0.4886399631136265,176.65978112229328,0.0011732324695581,0.5807036281633198,0.5050664519136888,0.5895097957444333
PXP,10,1,1,0.08,multi_mags,non_product,0.2382546874080678,0.493391567377451,176.8424607785605,0.0017318811372443,0.5579497977675753,0.4831675235355044,0.5814504273515063
PXP,10,1,1,0.08,multi_mags,non_product,0.3670678222631208,0.5548996300294777,125.17626709325314,0.0014098895505871,0.498887086929747,0.6194347218808522,0.6546040577191533
