model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,lambda,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
xorX,10,1,4,0.2,multi_mags,xorX,1.0,0.1,1.0,0.0025786843833784,1.257874218757134,0.4156306063245615,0.0291934687866648,0.000982010826833,0.2929599210330419,17.304150900353388,0.0164814739632641
xorX,10,1,5,0.2,fidelity,product,1.0,0.1,1.0,8.656123106298708e-06,4.3531221091686056e-05,0.9999913438768936,0.9999564687789084,0.9999126264320582,0.8847420263415682,5.704415785137058e-05,0.0013704974172332
xorX,10,1,5,0.2,fidelity,product,1.0,0.1,1.0,4.9765651454980464e-05,7.382967767777249e-05,0.999950234348545,0.9999261703223222,0.9998313021193548,0.9169157317048778,0.000206599471637,0.001122178443805
xorX,10,1,5,0.2,multi_mags,product,1.0,0.1,1.0,0.0153402595244773,0.1887646879330987,0.9196910915032755,0.8573828388569967,0.4761945891946341,0.5408489566793835,0.0883700800374214,0.0327105605899942
xorX,10,1,5,0.2,multi_mags,product,1.0,0.1,1.0,0.0159532709552302,0.2329521203049202,0.8704651977054813,0.8260550409628333,0.4202682057725759,0.5189593668309631,0.6571988612088239,0.0614502966364163
xorX,10,1,6,0.2,fidelity,product,1.0,0.1,1.0,5.771992524161718e-06,2.9075047759286043e-05,0.9999942280074758,0.9999709249522408,0.9999367151491046,0.9158661872538923,8.60889493161289e-05,0.0010170694170403
xorX,10,1,6,0.2,fidelity,product,1.0,0.1,1.0,5.150402834885881e-06,2.8827896727534608e-05,0.9999948495971652,0.9999711721032724,0.9999297477743444,0.939702959519716,4.3806213093492e-05,0.0007876704204512
xorX,10,1,6,0.2,multi_mags,product,1.0,0.1,1.0,0.0107760219962807,0.1663320119509617,0.9340061856060284,0.8823219958524129,0.5990310055236735,0.5817254324434304,0.1727784412605828,0.036426185422411
xorX,10,1,6,0.2,multi_mags,product,1.0,0.1,1.0,0.0054348952340354,0.1366594815138954,0.9538731896427164,0.9188844334729908,0.7132377927486793,0.5953750560550957,0.0699151835947318,0.0247069194229001
xorX,10,1,7,0.2,fidelity,product,1.0,0.1,1.0,4.810597215243462e-06,2.438794046555337e-05,0.9999951894027848,0.9999756120595344,0.9999644050596356,0.9341762174522342,4.494430284249421e-05,0.0007919666601804
xorX,10,1,7,0.2,fidelity,product,1.0,0.1,1.0,6.943690880623077e-05,0.0001286721715754,0.9999305630911938,0.9998713278284246,0.9998431509154782,0.9534906169895532,0.0001407343336431,0.0007276917105369
