model_name,length,evol_num,time_interval,sample_num,loss_type,data_type,depth,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity
random_circuit,10,1,0,1,fidelity,non_product,6,0.2903417719717793,0.9794137348961712,0.7096582280282207,0.0205862651038287,0.0009767857547879,0.2929379143762771
random_circuit,10,1,0,1,fidelity,non_product,6,0.2860933173918643,0.9709370559121588,0.7139066826081357,0.0290629440878411,0.0009758911403859,0.292918301298973
random_circuit,10,1,0,1,fidelity,non_product,6,0.290864281472929,0.9713403005234628,0.709135718527071,0.028659699476537,0.000976595150366,0.2932327801067533
random_circuit,10,1,0,1,fidelity,non_product,6,0.2932201977575472,0.9663298946991322,0.7067798022424527,0.0336701053008677,0.0009763245333722,0.293080441145898
random_circuit,10,1,0,1,fidelity,non_product,6,0.285791225762239,0.974713607975342,0.714208774237761,0.025286392024658,0.0009756735768193,0.2928523975805324
random_circuit,10,1,0,1,fidelity,product,6,0.0002688837415021,0.97553654743497,0.999731116258498,0.0244634525650299,0.0009771986793857,0.2933389912203539
random_circuit,10,1,0,1,fidelity,product,6,3.892719068443462e-05,0.9715756708961883,0.9999610728093156,0.0284243291038115,0.0009758472540963,0.2930519040113848
random_circuit,10,1,0,1,fidelity,product,6,0.0001380052486263,0.974320110117622,0.9998619947513736,0.0256798898823781,0.0009760055595854,0.2927251935761913
random_circuit,10,1,0,1,fidelity,product,6,0.0001353503150181,0.9658886064990574,0.999864649684982,0.0341113935009426,0.000975720696258,0.2927812865274619
random_circuit,10,1,0,1,fidelity,product,6,9.802240051648424e-06,0.9752701228780046,0.9999901977599484,0.0247298771219953,0.0009764146285964,0.2926585684466863
random_circuit,10,1,0,1,multi_mags,non_product,6,0.0008313749092456,0.8719318793629962,0.0305156775247736,0.0255656582739231,0.0009806094811426,0.2924737894021426
random_circuit,10,1,0,1,multi_mags,non_product,6,0.0012392273926163,0.8754392690790326,0.0465828292115788,0.0304539538714966,0.0009768214795061,0.2928572791986442
random_circuit,10,1,0,1,multi_mags,non_product,6,0.0013836430196944,0.9917698485953096,0.0084773851446948,0.0247779262058179,0.0009796219600913,0.292487951757552
random_circuit,10,1,0,1,multi_mags,non_product,6,0.002284082863406,0.9058695485466411,0.0346350937889271,0.0268535925152104,0.0009777601561316,0.2923858194421643
random_circuit,10,1,0,1,multi_mags,non_product,6,0.000901491928823,0.848450007324062,0.0393789231915203,0.0247222921539143,0.0009760145691778,0.2927193794414251
random_circuit,10,1,0,1,multi_mags,product,6,0.0149953799093562,0.7876463689376407,0.1616724022020775,0.0458233121515451,0.0009760560172256,0.2931265329707299
random_circuit,10,1,0,1,multi_mags,product,6,0.0111129151274863,0.6800124819937906,0.0510159832866129,0.0283587400995596,0.0009764835446796,0.2926117455800636
random_circuit,10,1,0,1,multi_mags,product,6,0.0125284937032998,0.7509073429268293,0.0323162546070233,0.0288878222671116,0.0009777673956958,0.292937598308006
random_circuit,10,1,0,1,multi_mags,product,6,0.0079831309858621,0.7631848052286476,0.0676430718824546,0.029926613424265,0.0009756492391437,0.292858894457585
random_circuit,10,1,0,1,multi_mags,product,6,0.0170660967327184,0.7780126001828047,0.0343056573830621,0.0270394395872168,0.0009778504871264,0.2923668151069988
