model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,theta,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
XXZ_inhomo,10,1,1,0.02,fidelity,product,1.0,1.0,0.0,0.0005799823391318,0.0071273581542378,0.9994200176608682,0.9928726418457622,0.9787190055830122,0.926654129601215,36.2477594586144,0.0261042318540562
XXZ_inhomo,10,1,1,0.02,fidelity,product,1.0,1.0,0.0,0.0001585595648411,0.0044350749562144,0.9998414404351588,0.9955649250437856,0.985875921434524,0.9402889963280316,21.36461904732869,0.0227466715124288
XXZ_inhomo,10,1,1,0.02,fidelity,product,1.0,1.0,0.0,5.669331532009991e-07,0.0048411368662485,0.9999994330668468,0.9951588631337516,0.9856197583648968,0.9386190710832046,21.69490494747831,0.0209171683227829
XXZ_inhomo,10,1,1,0.02,fidelity,product,1.0,1.0,0.0,6.147451572702245e-05,0.0092703780473299,0.999938525484273,0.99072962195267,0.9761119362261752,0.9145936332162522,41.8621694844267,0.0268295129395651
XXZ_inhomo,10,1,1,0.02,multi_mags,product,1.0,1.0,0.0,0.0300062051103475,0.2407682127273008,0.9975750028253598,0.9032204122722008,0.6825532992178218,0.703803904238023,883.1398859403565,0.1040345369981182
XXZ_inhomo,10,1,1,0.02,multi_mags,product,1.0,1.0,0.0,0.0264826614352338,0.1417680745350514,0.997824337939674,0.9578750426767084,0.8477804041784136,0.800277090154439,358.309309461349,0.0795241177205982
XXZ_inhomo,10,1,1,0.02,multi_mags,product,1.0,1.0,0.0,0.0171975217057668,0.3036950901149673,0.9980449810109936,0.8449215928047903,0.5596704135461571,0.6354123162640524,1353.1864563153438,0.1305900800918565
XXZ_inhomo,10,1,1,0.02,multi_mags,product,1.0,1.0,0.0,0.0240195499462055,0.6126486933441198,0.9979768341102898,0.4828586961080834,0.0736697395729099,0.3929160559614165,5651.844744064424,0.7083146032142931
XXZ_inhomo,10,1,2,0.02,fidelity,product,1.0,1.0,0.0,5.799333962719366e-06,0.0012513246442693,0.9999942006660372,0.9987486753557306,0.992795749325952,0.9539846671953556,8.124077651108538,0.0162041619974669
XXZ_inhomo,10,1,2,0.02,fidelity,product,1.0,1.0,0.0,0.0001805032438764,0.0020788479674738,0.9998194967561236,0.9979211520325262,0.990971903664413,0.9523891006427164,11.855005804073382,0.0164698095009289
XXZ_inhomo,10,1,2,0.02,fidelity,product,1.0,1.0,0.0,1.523244010370739e-05,0.0019073936310035,0.9999847675598964,0.9980926063689964,0.990510717710277,0.9182672529909872,14.67922876511536,0.0215725856930149
XXZ_inhomo,10,1,2,0.02,fidelity,product,1.0,1.0,0.0,8.213378511312541e-06,0.0017640242051236,0.9999917866214888,0.9982359757948764,0.9909341256921252,0.9373484626804752,12.721206889229444,0.0198089552316952
XXZ_inhomo,10,1,2,0.02,multi_mags,product,1.0,1.0,0.0,0.0196130662149124,0.1245878120913736,0.9973299697361058,0.9699769620987524,0.8552510145573802,0.8059475851724627,340.41594003208564,0.0777055587389481
XXZ_inhomo,10,1,2,0.02,multi_mags,product,1.0,1.0,0.0,0.0177992538948994,0.1620498880538569,0.9978940645090344,0.947942293872028,0.769775957989957,0.7515063362695885,591.6786916170076,0.0986942271401263
XXZ_inhomo,10,1,2,0.02,multi_mags,product,1.0,1.0,0.0,0.0224641250687391,0.6768111027762306,0.998370227167533,0.4587304873868457,0.0219620137008759,0.3434958167248669,6643.671235643257,1.413629940317357
XXZ_inhomo,10,1,2,0.02,multi_mags,product,1.0,1.0,0.0,0.0209420487219772,0.4827368766052206,0.9984119235185688,0.668234925148375,0.1139485003002711,0.4202863240692585,5269.918585807645,1.056231620798609
XXZ_inhomo,10,1,3,0.02,fidelity,product,1.0,1.0,0.0,2.5268087737728706e-06,0.0002224776854987,0.9999974731912262,0.9997775223145012,0.9976172718724138,0.9745295090790648,1.7210927667493272,0.0081517118889022
XXZ_inhomo,10,1,3,0.02,fidelity,product,1.0,1.0,0.0,0.000328780960366,0.0004088307421498,0.999671219039634,0.9995911692578502,0.9968162599514316,0.9703183030706422,2.970035555057603,0.009091635992564
XXZ_inhomo,10,1,3,0.02,fidelity,product,1.0,1.0,0.0,0.0001490135147983,0.0004348562151023,0.9998509864852017,0.9995651437848976,0.9974837838269218,0.949729144134102,2.1263956440372875,0.0133208817009322
XXZ_inhomo,10,1,3,0.02,fidelity,product,1.0,1.0,0.0,3.141812634832597e-06,0.0001991677380791,0.9999968581873652,0.9998008322619208,0.998733946590382,0.9794300951956562,0.920064282557811,0.0073099163853836
XXZ_inhomo,10,1,3,0.02,multi_mags,product,1.0,1.0,0.0,0.0223545498526518,0.0795773353448821,0.9972558394450382,0.9853591464620732,0.9249755656287344,0.8612686935882063,163.2426069247134,0.0557556026438148
XXZ_inhomo,10,1,3,0.02,multi_mags,product,1.0,1.0,0.0,0.0170137572260802,0.119665852496277,0.997978683251637,0.9699393078898788,0.8271277591977254,0.7858066316377504,424.30625914956096,0.0808393425506246
XXZ_inhomo,10,1,3,0.02,multi_mags,product,1.0,1.0,0.0,0.016722347382831,0.4209985914135107,0.9981205571268424,0.6923635685834811,0.1859173203412116,0.4662338125150488,4504.384890193071,0.3883691557594153
XXZ_inhomo,10,1,3,0.02,multi_mags,product,1.0,1.0,0.0,0.0214612659067059,0.4011939309592148,0.9979646705977744,0.7276275378378668,0.1879045654221002,0.4649017146708203,4625.930490453752,0.838324433446482
