model_name,length,evol_num,sample_num,time_interval,loss_type,data_type,J,delta,lamda,train_loss,test_loss,train_fide,test_fide,gate_fidelity,similarity,spectrum_diff,H_diff
xorX,10,1,1,0.02,fidelity,linear_scar,1.0,0.1,1.0,6.093742388468827e-08,0.0110297172063172,0.999999939062576,0.9889702827936828,0.9718378844973824,0.8952309670242683,3.993000218817224,0.0175709830701143
xorX,10,1,1,0.02,fidelity,linear_scar,1.0,0.1,1.0,7.151865566434878e-08,0.0141829760757237,0.9999999284813444,0.9858170239242764,0.9642918265642348,0.878630583307268,8.240720807377766,0.0192887083257603
xorX,10,1,1,0.02,fidelity,non_product,1.0,0.1,1.0,8.292603032256096e-06,7.152580861258251e-06,0.9999917073969676,0.9999928474191389,0.9999821499994784,0.9978785755985026,0.0010834680709367,0.0008494417396981
xorX,10,1,1,0.02,fidelity,non_product,1.0,0.1,1.0,0.0003659534452515,0.0001837814464766,0.9996340465547484,0.9998162185535232,0.9994695405473236,0.986316637934867,0.0438362753480964,0.0039170069406904
xorX,10,1,1,0.02,fidelity,product,1.0,0.1,1.0,9.880579173171531e-06,0.021481096985557,0.9999901194208268,0.978518903014443,0.9276145489159654,0.86203946533594,57.6363493934527,0.0519534095105018
xorX,10,1,1,0.02,fidelity,product,1.0,0.1,1.0,8.318528531492397e-05,0.0246497700645168,0.9999168147146852,0.9753502299354831,0.9263512201962066,0.8625283933450161,65.57243219054226,0.0511367985566305
xorX,10,1,1,0.02,fidelity,product,1.0,0.1,1.0,3.770861069174458e-06,0.0214443902726466,0.9999962291389308,0.9785556097273532,0.928647691831674,0.8651255691569701,74.79778176560815,0.0486511808310878
xorX,10,1,1,0.02,fidelity,product,1.0,0.1,1.0,4.190775302959082e-05,0.0288607475697147,0.9999580922469704,0.9711392524302852,0.9185601873880872,0.855610405480699,94.68633768148796,0.0534434670546948
xorX,10,1,1,0.02,fidelity,product,1.0,0.1,1.0,5.168060024418608e-05,0.0276191352640917,0.9999483193997558,0.9723808647359082,0.9148253004653796,0.8520448114489393,76.96244849915196,0.0564607662945716
xorX,10,1,1,0.02,fidelity,product,1.0,0.1,1.0,1.2129943180338998e-05,0.0331808492645603,0.9999878700568195,0.9668191507354396,0.9026756208319234,0.8418113914583866,115.7555553421814,0.0522846963104894
xorX,10,1,1,0.02,multi_mags,linear_scar,1.0,0.1,1.0,0.0095414622439701,0.4735797092321819,0.6980390682825913,0.6719301124149459,0.3975741624366156,0.5615930156727649,1790.1388271131743,0.1867245790300451
xorX,10,1,1,0.02,multi_mags,linear_scar,1.0,0.1,1.0,0.0127425682810136,0.7031304783226918,0.8326141091670203,0.4347936598126599,0.1398099169342427,0.405863826068254,4234.581958832585,0.4026835403991884
xorX,10,1,1,0.02,multi_mags,non_product,1.0,0.1,1.0,0.0009557284559615,0.5166725023012387,0.5553223635438362,0.6444724763968293,0.301057301853513,0.5234600940492828,2382.126053000932,0.2228793994469603
xorX,10,1,1,0.02,multi_mags,non_product,1.0,0.1,1.0,0.0018874282800125,0.4565883003691227,0.6227501051182083,0.6963123858313047,0.3776566320283369,0.5599865646443585,1898.6559435012168,0.2002093158925732
xorX,10,1,1,0.02,multi_mags,product,1.0,0.1,1.0,0.031051689871775,0.3473271108037983,0.99403828512684,0.7985352298683225,0.4024443533105892,0.5717290995841797,1845.7619101641644,0.1583712087704921
xorX,10,1,1,0.02,multi_mags,product,1.0,0.1,1.0,0.0162293314426639,0.2180437999200034,0.991289261129895,0.9127424178106304,0.7117456098392885,0.7186302785576284,575.8266150342756,0.1079597725699061
xorX,10,1,1,0.02,multi_mags,product,1.0,0.1,1.0,0.0353857167548169,0.2946587615119609,0.9927496487052664,0.8552349867528294,0.6003769826540379,0.664243173679004,981.7027550455516,0.116627773313948
xorX,10,1,1,0.02,multi_mags,product,1.0,0.1,1.0,0.0264215154589361,0.2061859940858554,0.9917223792645692,0.924524710155474,0.7410136406034201,0.7303076212847339,482.90214782687855,0.098917247874773
xorX,10,1,1,0.02,multi_mags,product,1.0,0.1,1.0,0.0183476398461381,0.1971620155524955,0.9941991832119486,0.926215300353057,0.769835681946349,0.751310211133866,393.35225321649847,0.0923782805499753
xorX,10,1,1,0.02,multi_mags,product,1.0,0.1,1.0,0.0281572740314398,0.3059359425149012,0.9902849363818732,0.8426632283954112,0.5419000353904472,0.6362112486566744,1197.0871301798577,0.1259184578061626
xorX,10,1,2,0.02,fidelity,linear_scar,1.0,0.1,1.0,1.8954066649534693e-07,0.014507650976274,0.9999998104593336,0.985492349023726,0.964740629483446,0.8921860455008483,6.239307790657555,0.0182409330209826
xorX,10,1,2,0.02,fidelity,linear_scar,1.0,0.1,1.0,4.5511653445906575e-08,0.0101357156841984,0.9999999544883466,0.9898642843158016,0.9745028263645408,0.8509024228644487,1.440531022044944,0.0237123274600258
xorX,10,1,2,0.02,fidelity,non_product,1.0,0.1,1.0,4.282306777425582e-05,2.256441420822597e-05,0.9999571769322256,0.9999774355857918,0.999943312945774,0.9859764203081938,0.0026130734627789,0.0018402420731054
xorX,10,1,2,0.02,fidelity,non_product,1.0,0.1,1.0,8.867160302372668e-05,6.544021602472583e-05,0.9999113283969764,0.9999345597839752,0.9998272839082276,0.9915110380998728,0.0055795197823337,0.0014467281784654
xorX,10,1,2,0.02,fidelity,product,1.0,0.1,1.0,3.760341918246368e-05,0.015022553527158,0.9999623965808176,0.984977446472842,0.9546397395153354,0.8716478542910527,42.10079252768453,0.0419322511560096
xorX,10,1,2,0.02,fidelity,product,1.0,0.1,1.0,3.1968409366367467e-06,0.0163503805981737,0.9999968031590634,0.9836496194018264,0.938039229973792,0.8638283633867611,57.76247636079219,0.0466603192189956
xorX,10,1,2,0.02,fidelity,product,1.0,0.1,1.0,0.0009801562873699,0.0180924890373748,0.99901984371263,0.9819075109626252,0.9381020361442752,0.8706017840920297,66.70468340358327,0.0484352263365756
xorX,10,1,2,0.02,fidelity,product,1.0,0.1,1.0,7.212313386650848e-05,0.0199015960661671,0.9999278768661336,0.9800984039338329,0.9277018638770124,0.8578830855279457,82.04327829466948,0.0489686970875863
xorX,10,1,2,0.02,fidelity,product,1.0,0.1,1.0,0.0008931262490006,0.0135376329360319,0.9991068737509994,0.986462367063968,0.9582152945469912,0.8845790774088436,29.44113264648596,0.0452809494824819
xorX,10,1,2,0.02,fidelity,product,1.0,0.1,1.0,6.781072619366224e-05,0.0123210992981411,0.9999321892738064,0.9876789007018588,0.9540494785488556,0.8853731182854405,44.41625747716012,0.0416930942980753
xorX,10,1,2,0.02,multi_mags,linear_scar,1.0,0.1,1.0,0.013318150000097,0.8277623371776675,0.7972189714173106,0.240691737351842,0.0248831286295328,0.3390729268832894,5999.263298158787,0.4929820991246502
xorX,10,1,2,0.02,multi_mags,linear_scar,1.0,0.1,1.0,0.0171694084178288,0.7393318404411403,0.747078321087016,0.36218738861015,0.0711907170251994,0.3760956001174238,5123.132836572653,0.5091546123332008
xorX,10,1,2,0.02,multi_mags,non_product,1.0,0.1,1.0,0.0008819525271321,0.4801507883079697,0.6210623198909805,0.6815590634854181,0.3476604157137004,0.546119142059655,2070.742588704914,0.3042721617009989
xorX,10,1,2,0.02,multi_mags,non_product,1.0,0.1,1.0,0.0010464944506532,0.5584373262578837,0.532333421793495,0.6272711950523655,0.2821709870365409,0.5128679797523071,2479.169656383113,0.2411959002348923
xorX,10,1,2,0.02,multi_mags,product,1.0,0.1,1.0,0.0183009968076274,0.1617436660846508,0.9948780664818064,0.9414173539474752,0.771015593363851,0.7526524657772378,414.31504879287024,0.1056212157696374
xorX,10,1,2,0.02,multi_mags,product,1.0,0.1,1.0,0.0119751837209752,0.2523564093938058,0.9957714651243634,0.8956800260948421,0.6368386010329455,0.6719475966976323,804.5071699717015,0.1183396157618093
xorX,10,1,2,0.02,multi_mags,product,1.0,0.1,1.0,0.0167596636479336,0.2328129643421545,0.993159147006468,0.8929844925715676,0.5948338951344078,0.6546738672271757,923.9973921587708,0.1361775289594962
xorX,10,1,2,0.02,multi_mags,product,1.0,0.1,1.0,0.0111246027494024,0.1703339096848249,0.9948927079109836,0.9431432183452484,0.7929807026130671,0.7654234134618931,347.6138216658143,0.0924718941499482
xorX,10,1,2,0.02,multi_mags,product,1.0,0.1,1.0,0.0201193806788557,0.3753248934539089,0.9922556411753148,0.7880871864224587,0.4118718426770485,0.5748086256066305,1788.068884199865,0.1478001799961804
xorX,10,1,2,0.02,multi_mags,product,1.0,0.1,1.0,0.0345271852582088,0.2186409340927012,0.9949370650023516,0.9058285930235276,0.6149402477524313,0.6710201554669877,828.1747078931573,0.1309686714542464
xorX,10,1,3,0.02,fidelity,linear_scar,1.0,0.1,1.0,9.611107958384937e-07,0.0155061622418036,0.9999990388892042,0.9844938377581964,0.9620274299867912,0.8607432071357977,10.590858844047212,0.0228794757367041
xorX,10,1,3,0.02,fidelity,linear_scar,1.0,0.1,1.0,8.315985763829303e-05,0.0126618566850993,0.9999168401423616,0.9873381433149008,0.9694649551900264,0.8866926947335859,5.906021386441011,0.0199465291090072
xorX,10,1,3,0.02,fidelity,non_product,1.0,0.1,1.0,5.316657206555497e-05,3.129571832272138e-05,0.9999468334279344,0.9999687042816772,0.9999184845570016,0.993801723725364,0.003257023021971,0.0010523060138906
xorX,10,1,3,0.02,fidelity,non_product,1.0,0.1,1.0,3.808840104424505e-07,5.632248561981967e-07,0.9999996191159896,0.9999994367751438,0.9999991479218256,0.9953112558835056,0.0001383146761203,0.0006468220635416
xorX,10,1,3,0.02,fidelity,product,1.0,0.1,1.0,0.0002348098292497,0.0016747977721146,0.9997651901707504,0.9983252022278852,0.9900607292820052,0.909564089955325,1.508199294149975,0.0269711614829435
xorX,10,1,3,0.02,fidelity,product,1.0,0.1,1.0,2.545722088576064e-05,0.001541329809043,0.9999745427791142,0.9984586701909568,0.9936637844147812,0.925017699776991,0.6664409472689112,0.0209340173887692
xorX,10,1,3,0.02,fidelity,product,1.0,0.1,1.0,0.0002459873146979,0.0012125415296497,0.999754012685302,0.9987874584703502,0.9950280890071638,0.963190105600818,0.5115900253803913,0.0148259480187748
xorX,10,1,3,0.02,fidelity,product,1.0,0.1,1.0,0.0001551180282998,0.003246054544687,0.9998448819717002,0.9967539454553128,0.9878248758141386,0.9431936702871418,6.247520092249503,0.019601297594404
xorX,10,1,3,0.02,fidelity,product,1.0,0.1,1.0,1.315876055041354e-05,0.0011116835751838,0.9999868412394496,0.998888316424816,0.991858862981812,0.9452189089096088,1.8632281837696625,0.0185288733484669
xorX,10,1,3,0.02,fidelity,product,1.0,0.1,1.0,1.2143224683569542e-05,0.0014656114112762,0.9999878567753164,0.9985343885887238,0.9905877865154348,0.9499360871386195,2.2121505501947207,0.0189253353298959
xorX,10,1,3,0.02,multi_mags,linear_scar,1.0,0.1,1.0,0.0121642250348922,0.7505577063977718,0.9750636307461008,0.3385213464623974,0.0349995591602876,0.3533464268745632,5672.033490181738,0.3109879639656779
