time_interval,sample_num,evol_num,train_set_type,loss,gate_fidelity,length,spectrum_diff,train_loss,test_loss,train_fidelity,test_fidelity,entangle_dim,H_diff
0.002,1.0,1.0,Z2,multi_mags,0.8019631051444928,10,7.583921633500386,0.0067281218648675,0.0066225294974494,0.999877515866702,0.99988633408066,1.0,
0.002,1.0,2.0,Z2,multi_mags,0.9422936579572518,10,3.7710821281018303,0.0045544032209427,0.0038973983537735,0.9998969192743632,0.9999083175029744,1.0,
0.002,1.0,3.0,Z2,multi_mags,0.9815896303357914,10,2.014713860241036,0.0046367238125046,0.0041887222014198,0.9998026577066156,0.9998116912544917,1.0,
0.002,1.0,4.0,Z2,multi_mags,0.834658958723451,10,6.515983705105642,0.0024453019299269,0.0013658938185019,0.9999613224419972,0.9999101104458636,1.0,
0.002,1.0,5.0,Z2,multi_mags,0.9488355829966174,10,3.5367892057558383,0.0025453438840157,0.0027863616869829,0.9999608930677522,0.999956749303522,1.0,
0.002,1.0,6.0,Z2,multi_mags,0.7384895748089318,10,8.437094623459847,0.0007930152193335,0.0013964885280173,0.9999958886011796,0.999995079733219,1.0,
0.002,1.0,7.0,Z2,multi_mags,0.8695319768533888,10,5.7034681581173805,0.0046049210339209,0.0036052506839542,0.9998918681773028,0.9999063316526626,1.0,
0.002,1.0,8.0,Z2,multi_mags,0.953656332912776,10,3.408018498133212,0.0036316559231316,0.0042135041283892,0.999925286068798,0.999920460945536,1.0,
0.002,1.0,9.0,Z2,multi_mags,0.935358518579682,10,4.214955714574048,0.0042871371613036,0.0051737196967881,0.9997372362393272,0.9997423338046368,1.0,
0.002,1.0,10.0,Z2,multi_mags,0.8547529233046232,10,6.108933572068748,0.0064780562891392,0.006858504655181,0.9997395778271216,0.9997913557819788,1.0,
0.002,1.0,20.0,Z2,multi_mags,0.9524697589717194,10,3.937857161070766,0.0048081793286704,0.0043231091287743,0.9998595297273098,0.9998630133474612,1.0,
0.002,1.0,30.0,Z2,multi_mags,0.9189132336972304,10,5.01358520857805,0.0053352740234306,0.0046684135682718,0.9998010037443928,0.9998100234285602,1.0,
0.002,1.0,40.0,Z2,multi_mags,0.93173070610185,10,4.36010967543082,0.003569826291576,0.0047316600847847,0.99984555256004,0.9998503189231512,1.0,
0.002,1.0,50.0,Z2,multi_mags,0.8713157071322272,10,5.959622796873612,0.0026811673180924,0.0050958389238865,0.999770436764934,0.999828748946342,1.0,
0.002,1.0,60.0,Z2,multi_mags,0.9085630971209576,10,4.809201722107999,0.0057696398218885,0.0055312409873926,0.9994565724567794,0.9996406723311958,1.0,
0.002,1.0,70.0,Z2,multi_mags,0.9198354037981832,10,4.687234368581492,0.0071744841105987,0.0041860951053499,0.9995650682879216,0.9996201957800188,1.0,
0.002,1.0,80.0,Z2,multi_mags,0.8487059383102545,10,6.705671309323634,0.0200837494813517,0.0217116555129986,0.9988237314018056,0.9988363835360607,1.0,
0.002,1.0,90.0,Z2,multi_mags,0.824684367831865,10,7.215958552230509,0.0085946450211579,0.0076925087729144,0.9997206352708649,0.9997235819912962,1.0,
0.002,1.0,100.0,Z2,multi_mags,0.8504897457924149,10,6.21780789857261,0.0107097002573923,0.0082581539647213,0.9996507605022812,0.9997541009798628,1.0,
0.004,1.0,1.0,Z2,multi_mags,0.9016086055178276,10,2.468571423194702,0.0036909155016514,0.003309935069927,0.9998510242167232,0.99985631012318,1.0,
0.004,1.0,2.0,Z2,multi_mags,0.938868823695758,10,1.894916714647316,0.0032332914121607,0.0029115800482949,0.9999161409139016,0.9999284977766436,1.0,
0.004,1.0,3.0,Z2,multi_mags,0.9262181284387808,10,2.097678512766566,0.0048735077308881,0.0044071074599388,0.9999116207868928,0.9999157280282732,1.0,
0.004,1.0,4.0,Z2,multi_mags,0.9418624303095164,10,1.8607793162113084,0.00316482692582,0.0044981977124883,0.9998559531573356,0.999851247845174,1.0,
0.004,1.0,5.0,Z2,multi_mags,0.9552486211855404,10,1.8346606387464524,0.0042581231776078,0.0015281152233748,0.9998520849424128,0.9998606818183244,1.0,
0.004,1.0,6.0,Z2,multi_mags,0.972924981658834,10,1.249437680833286,0.0028000802155101,0.0053857072086506,0.9999124556635806,0.9998794358593478,1.0,
0.004,1.0,7.0,Z2,multi_mags,0.9466058962166108,10,1.811661312965443,0.0031157531631049,0.0048052149803754,0.9998126069862522,0.999847825444948,1.0,
0.004,1.0,8.0,Z2,multi_mags,0.922961453472103,10,2.193190418903193,0.0043710414802837,0.0078371748724224,0.9998839374388564,0.999856988647623,1.0,
0.004,1.0,9.0,Z2,multi_mags,0.9231851993478724,10,2.40258212102008,0.0047767416267264,0.0057315034096651,0.9998068088911892,0.9998033067704596,1.0,
0.004,1.0,10.0,Z2,multi_mags,0.9183777016442776,10,2.294815127879441,0.0023905161939356,0.0040449893008327,0.9999086291986736,0.9998622413660178,1.0,
0.004,1.0,20.0,Z2,multi_mags,0.8869029010626354,10,2.782858490658782,0.0052815336543055,0.0069756252741014,0.9998768490984288,0.999894708434847,1.0,
0.004,1.0,30.0,Z2,multi_mags,0.8929545688554866,10,2.664533552624138,0.0097035675609355,0.0072555889891967,0.9995746947884953,0.999652124237574,1.0,
0.004,1.0,40.0,Z2,multi_mags,0.8901596674442827,10,2.6526901469126307,0.0033663188242892,0.0054602356873084,0.9999168173778584,0.9999068523367268,1.0,
0.004,1.0,50.0,Z2,multi_mags,0.7965617729920104,10,3.7215531717699912,0.0049926938664371,0.004756077195528,0.999872695713808,0.9998823385175872,1.0,
