length,time_interval,evol_num,sample_num,train_set_type,entangle_dim,loss,gate_fidelity,spectrum_diff,H_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,0.02,1,1,Z2,1,multi_mags,0.9301567059872312,145.12968875939535,0.0299458380633447,0.0033642150122174,0.1350964491703252,0.9997932343189352,0.9703494165765476
10,0.02,1,2,Z2,1,multi_mags,0.948168723253331,103.04164024452108,0.0274225059540287,0.0046542636111011,0.1164577567235666,0.9997917736894792,0.9782704205813952
10,0.02,1,3,Z2,1,multi_mags,0.9366014925950414,130.0411119490038,0.0296016288072405,0.004731189450169,0.1405642760616554,0.9995960205266784,0.9724862898926911
10,0.02,1,4,Z2,1,multi_mags,0.923821974086797,160.77291830618074,0.0288785587689443,0.0041040265406111,0.1395681144984827,0.9997961614481418,0.9628003873205252
10,0.02,1,5,Z2,1,multi_mags,0.934605035453613,134.9281796965435,0.030350660530451,0.003272101550331,0.1436241136067249,0.9998091877238156,0.9719203076251928
10,0.02,1,6,Z2,1,multi_mags,0.8952042005635222,232.0555449399405,0.0342337196208415,0.0072917350442241,0.1762115819798532,0.9998734323343378,0.9555408880389596
10,0.02,1,7,Z2,1,multi_mags,0.8545379527470706,337.9333854865364,0.038884010387507,0.0102780993096847,0.214998414117126,0.9998132743628836,0.9381540297529564
10,0.02,1,8,Z2,1,multi_mags,0.8769404521561607,279.13253728975945,0.0386438297242867,0.0041934470777262,0.1901925899171091,0.9998514420077004,0.9500092122419252
10,0.02,1,9,Z2,1,multi_mags,0.9289961482894876,148.44847697105777,0.0292085676297249,0.0064045585922011,0.1547257030776734,0.9996484104596298,0.9671192787083152
10,0.02,1,10,Z2,1,multi_mags,0.9197831433473922,170.3358392463775,0.032629828204971,0.0048782397301163,0.159293447538407,0.9997702823577987,0.9610546773185012
10,0.04,1,1,Z2,1,multi_mags,0.8943023395812585,48.163092907372544,0.0181193990560552,0.0035283822981238,0.1851614923164321,0.9996347210901876,0.9537383078997894
10,0.04,1,2,Z2,1,multi_mags,0.9327471431510505,27.09668835582201,0.0150146844868297,0.0040267969087849,0.1365728316613937,0.999802912339634,0.9688265877004136
10,0.04,1,3,Z2,1,multi_mags,0.9547551577811388,16.05223825581835,0.0126419025007147,0.0049909564283281,0.1144651092913362,0.999698441667074,0.9806165029766496
10,0.04,1,4,Z2,1,multi_mags,0.8874493946026345,52.554808204723045,0.0176546024083547,0.0076867466453954,0.1926864089566863,0.9998636964707962,0.9499101480936848
10,0.04,1,5,Z2,1,multi_mags,0.9218323988832768,32.9085089474998,0.0170862996106638,0.0050875383591072,0.1524907728745275,0.9998234745560066,0.9686933819913452
10,0.04,1,6,Z2,1,multi_mags,0.8887976940570976,51.80606450304064,0.0160176976776208,0.0043380283545501,0.1669939608044549,0.9998254153420432,0.9572346310917028
10,0.04,1,7,Z2,1,multi_mags,0.886791414334927,52.92675201341617,0.0183148424772406,0.0038766801203073,0.1860181317364775,0.9998397338585934,0.9537300036487152
10,0.04,1,8,Z2,1,multi_mags,0.9291469215585751,29.15722921937037,0.0148205898715266,0.0081959954418156,0.1353289531587994,0.999873357060542,0.9684090472052742
10,0.04,1,9,Z2,1,multi_mags,0.9213276450623744,33.172973752726485,0.0171445699195402,0.0048284189744155,0.1385575661929204,0.9997526300838154,0.9643836219375294
10,0.04,1,10,Z2,1,multi_mags,0.8823699779681504,55.47792322771702,0.0189720772710339,0.0042288732020589,0.1934803011468351,0.9998567923969968,0.938459912490326
10,0.06,1,1,Z2,1,multi_mags,0.9167056343272962,15.897289364678942,0.0117016403973242,0.0038767257341916,0.152883797111214,0.999879312421989,0.9621780839215538
10,0.06,1,2,Z2,1,multi_mags,0.9281575678697622,13.077381241342977,0.0107091564871652,0.0034060476856026,0.1434400336750192,0.999798599646496,0.9724281397528745
10,0.06,1,3,Z2,1,multi_mags,0.9153287512868072,16.190644377400094,0.0095347210828991,0.004513757948565,0.1568402141120713,0.9998985745252646,0.9635140991730112
10,0.06,1,4,Z2,1,multi_mags,0.8949619153305144,21.51244452446702,0.0107200137672116,0.0047120454604895,0.1612959142389413,0.9997903224457948,0.9539425495138012
10,0.06,1,5,Z2,1,multi_mags,0.9474084624326464,8.729000775864183,0.0083494583249305,0.0054034526189896,0.1274347765367147,0.9998195868411568,0.9779223054084082
10,0.06,1,6,Z2,1,multi_mags,0.911976003318276,16.97494474101373,0.0106904640539438,0.0078378142981821,0.1543629515398618,0.9998180628291964,0.9655879753651968
10,0.06,1,7,Z2,1,multi_mags,0.8055473523931629,46.32302055123255,0.0148387990431385,0.0061363554011214,0.2362113555475823,0.9997645926087844,0.9162816109479396
10,0.06,1,8,Z2,1,multi_mags,0.8613391982386921,30.408232152502794,0.0134610413990888,0.0087308285490247,0.1978720138513297,0.9997848208319972,0.9360782799409209
