length,time_interval,evol_num,sample_num,train_set_type,entangle_dim,loss,gate_fidelity,spectrum_diff,H_diff,train_loss,test_loss,train_fidelity,test_fidelity
10,0.02,1,1,Z2,1,fidelity,0.972596820299441,50.337543885161146,0.0229271687399562,4.051510238411993e-10,0.0108368360746275,0.999999999594849,0.9891631639253724
10,0.02,2,1,Z2,1,fidelity,0.9739806805580088,45.0185911827254,0.0205280753943757,1.528275728190919e-09,0.0094255574816792,0.9999999984717244,0.9905744425183208
10,0.02,3,1,Z2,1,fidelity,0.9681790455447236,57.80464316469097,0.0224019514657771,1.1051548565177427e-09,0.0116872087275322,0.9999999988948453,0.9883127912724676
10,0.02,4,1,Z2,1,fidelity,0.9637602613284776,67.29722511068896,0.023547218531456,1.9850877381877297e-06,0.012001014381189,0.9999980149122618,0.9879989856188108
10,0.02,5,1,Z2,1,fidelity,0.9549526743868574,87.19348859074648,0.0260092093119286,2.0095910491235713e-09,0.0164822926205613,0.999999997990409,0.9835177073794388
10,0.02,6,1,Z2,1,fidelity,0.9498006133135822,99.16777495798428,0.0267729641334652,1.5205215531111094e-08,0.0171926431916205,0.9999999847947844,0.9828073568083796
10,0.02,7,1,Z2,1,fidelity,0.930231444313642,145.7390032262596,0.0303352005774798,3.063610365394709e-09,0.0258319587087084,0.9999999969363896,0.9741680412912916
10,0.02,8,1,Z2,1,fidelity,0.9204276710009238,169.24530667661168,0.0329201146539926,3.4566338680264153e-09,0.0271517291679597,0.999999996543366,0.9728482708320404
10,0.02,9,1,Z2,1,fidelity,0.920885054278842,167.80288447141373,0.0336484711012517,4.743814119301248e-09,0.0282104625767094,0.999999995256186,0.9717895374232906
10,0.02,10,1,Z2,1,fidelity,0.9133985641321882,186.5032949479328,0.035128696655045,7.073785113220765e-09,0.0299593540893422,0.9999999929262148,0.9700406459106578
10,0.02,20,1,Z2,1,fidelity,0.9147464887106436,183.38368239930904,0.0339570586745226,8.399639450651365e-08,0.0311692932820782,0.9999999160036056,0.9688307067179216
10,0.02,30,1,Z2,1,fidelity,0.9146001840976096,183.9855946647372,0.0263394311371349,3.14674036716589e-07,0.0357402476137304,0.9999996853259632,0.9642597523862696
10,0.02,40,1,Z2,1,fidelity,0.905735387720794,206.452824796778,0.0230182132339162,7.232355014874514e-08,0.0386713619153127,0.99999992767645,0.9613286380846872
10,0.02,50,1,Z2,1,fidelity,0.8996583358625884,222.0530988794833,0.023007409824453,7.33203350256062e-08,0.0430546219744629,0.999999926679665,0.956945378025537
10,0.02,60,1,Z2,1,fidelity,0.8895071952312422,248.2657326664769,0.0226942092735136,7.24210892033561e-07,0.0432061776720675,0.999999275789108,0.9567938223279324
10,0.02,70,1,Z2,1,fidelity,0.8777267421583729,279.15221802037223,0.0231878156433967,5.96253467710639e-08,0.0505474314078031,0.9999999403746532,0.9494525685921968
10,0.02,80,1,Z2,1,fidelity,0.8632036892232557,318.0149197124618,0.0242838654672368,5.868142132214871e-07,0.0568689153638797,0.9999994131857868,0.9431310846361204
10,0.02,90,1,Z2,1,fidelity,0.8565887218633816,335.9036731726686,0.0246941044182697,3.1733921268539695e-08,0.0598309099520961,0.9999999682660788,0.9401690900479038
10,0.02,100,1,Z2,1,fidelity,0.84812234463723,359.10082289163,0.0245264332869715,3.2867463084507165e-08,0.062339003955937,0.9999999671325368,0.9376609960440628
10,0.04,1,1,Z2,1,fidelity,0.9611750176991216,12.150713919080845,0.0148064707281045,1.1093270746442839e-10,0.0177543403612973,0.9999999998890672,0.9822456596387028
10,0.04,2,1,Z2,1,fidelity,0.9624844599588572,12.312446968960408,0.0111717683964905,3.552516059102116e-09,0.0171030130343123,0.999999996447484,0.9828969869656876
