2.521683e-03	1
1.824435e-03	2
2.919917e-03	3
1.865830e-03	4
1.998173e-03	5
5.218843e-03	6
2.704677e-03	7
5.927180e-03	8
2.228828e-03	9
2.868613e-03	10
2.674253e-03	20
1.447777e-03	30
7.126452e-04	40
1.081893e-03	50
4.751182e-04	60
9.836583e-04	70
1.713678e-03	80
5.059487e-04	90
---
1.424353e-03	100
9.727141e-03	1
1.721693e-03	2
2.137915e-03	3
1.485959e-03	4
2.669213e-03	5
2.169131e-03	6
1.103958e-03	7
2.374265e-03	8
1.982180e-03	9
2.738170e-03	10
3.119657e-03	20
1.354079e-03	30
1.055051e-03	40
1.227876e-03	50
5.183585e-04	60
1.348798e-03	70
1.399046e-03	80
1.153559e-03	90
1.140346e-03	100
