1.082434e-02	1
4.942877e-03	2
8.043110e-03	3
1.082782e-02	4
1.487481e-02	5
1.913606e-02	6
9.974459e-03	7
8.666180e-03	8
1.137876e-02	9
1.077835e-02	10
4.073356e-03	20
2.317854e-03	30
1.846304e-03	40
1.346849e-03	50
1.002480e-03	60
1.703651e-03	70
2.108616e-03	80
8.193690e-04	90
1.557044e-03	100
---
3.594423e-03	1
6.968615e-03	2
8.848136e-03	3
1.550146e-02	4
9.809082e-03	5
1.405514e-02	6
1.165576e-02	7
1.149826e-02	8
9.205087e-03	9
6.714159e-03	10
3.588030e-03	20
4.303596e-03	30
1.384467e-03	40
1.434910e-03	50
3.563324e-03	60
2.085980e-03	70
1.656798e-03	80
1.652803e-03	90
1.994835e-03	100
